baitID	oeID	distance	ABC.Score	score	merged_score
100034	100049	80582	0.079733	0	5.1
100034	100051	93847	0.047471	0	5.1
100048	100049	5065	0.106807	0	5.1
100048	100051	18330	0.091729	0	5.1
100056	100049	-30614	0.117423	0.249801109491171	5.1
100056	100051	-20388	0.093644	1.71763309139516	5.1
100087	100092	24241	0	5.44137663598916	5.44137663598916
100087	100095	30652	0	6.77690523591051	6.77690523591051
100099	100082	-60417	0	7.81327265887501	7.81327265887501
100099	100088	-45164	0	6.1900981658937	6.1900981658937
100099	100095	-17742	0	7.57508862367641	7.57508862367641
100099	100106	27111	0	5.14287154070569	5.14287154070569
100099	100107	32209	0	5.63292431282294	5.63292431282294
100099	100109	42474	0	8.28685696353223	8.28685696353223
100099	100116	71528	0	5.70192675841482	5.70192675841482
100113	100082	-117995	0	5.65464838487615	5.65464838487615
100113	100088	-102742	0	6.38472615361569	6.38472615361569
100113	100095	-75320	0	5.21211527926396	5.21211527926396
100113	100098	-59916	0	5.35463550061512	5.35463550061512
100113	100111	-3795	0	7.47911234890772	7.47911234890772
10011	10065	195606	0	10.4813762446326	10.4813762446326
10011	9986	-123217	0	5.66483381183551	5.66483381183551
10011	9993	-85960	0	12.684388001692	12.684388001692
100299	100289	-33023	0.054291	0.368894994382757	5.1
100299	100290	-27437	0.049311	0.0894722131455685	5.1
100299	100300	5847	0.045488	0	5.1
10032	10024	-25288	0.034578	5.38475407377544	5.38475407377544
10032	10034	7527	0	5.1247408098744	5.1247408098744
10032	10038	11812	0.050849	0.18017275892355	5.1
10032	10039	12280	0.050849	0.876006112976223	5.1
100334	101088	3764358	0.045634	0	5.1
100349	100364	77822	0.039612	9.32918562202292	9.32918562202292
100349	100365	83697	0.0146	5.49848991315688	5.49848991315688
100349	100366	89610	0.0146	5.70317853311085	5.70317853311085
10035	10033	-7211	0	5.09740716601012	5.09740716601012
10035	10038	1664	0.050741	0.0100423075888045	5.1
10035	10039	2132	0.050741	0.0515131261843793	5.1
100381	100377	20350	0.067734	0	5.1
100381	100383	12245	0.08078	0	5.1
100381	100392	54695	0.047285	0	5.1
100381	100393	54695	0.047285	0	5.1
100388	100377	-55049	0.041941	0.617020994887635	5.1
100388	100383	-22615	0.076524	0.331879552704538	5.1
100388	100392	19182	0.072492	0.635279999576061	5.1
100388	100393	24281	0.072492	1.2758874230862	5.1
10039	10024	-37568	0	6.26781047448868	6.26781047448868
10039	10033	-9343	0	5.70631235380215	5.70631235380215
10039	10056	68801	0	5.88885077045047	5.88885077045047
10039	10061	96585	0	7.36800246869019	7.36800246869019
10039	10062	100743	0	5.17491777316412	5.17491777316412
10039	10065	111189	0	5.49532336037463	5.49532336037463
100406	100370	-181375	0.012394	8.10124016359903	8.10124016359903
100406	100371	-175984	0.011946	11.5424271485038	11.5424271485038
100406	100377	-144575	0.024047	6.08496454663792	6.08496454663792
100406	100380	-129200	0	6.64293477540903	6.64293477540903
100406	100381	-123608	0	8.43436832774559	8.43436832774559
100406	100392	-70344	0.043119	3.52703364466324	5.1
100406	100393	-65245	0.043119	1.59200830824133	5.1
100406	100405	1544	0.079315	0	5.1
100406	100418	60355	0.013637	12.5737823562795	12.5737823562795
100406	100418	60355	0.014518	12.5737823562795	12.5737823562795
10053	10056	14181	0	6.83884168119847	6.83884168119847
100573	100483	-478688	0	15.0492805016374	15.0492805016374
100573	100484	-473562	0	10.2665621798116	10.2665621798116
100573	100485	-468341	0	5.99033067301233	5.99033067301233
100573	100486	-463110	0.004461	8.73069190327357	8.73069190327357
100573	100575	8587	0.065659	6.60841952262267	6.60841952262267
100573	100575	8587	0.061988	6.60841952262267	6.60841952262267
100579	100483	-500506	0	9.01448212617679	9.01448212617679
100579	100575	-13231	0.06315	0.950518380595917	5.1
100579	100575	-13231	0.058409	0.950518380595917	5.1
100583	100616	156023	0	5.24687995947243	5.24687995947243
100598	100590	-35928	0.012741	5.2902125443073	5.2902125443073
100598	100591	-30543	0.051487	2.7891761417937	5.1
100598	100617	98980	0	5.09534862627725	5.09534862627725
100625	100618	24028	0.053122	0	5.1
100625	100618	23363	0.056301	0	5.1
100625	100618	22799	0.052677	0	5.1
100625	100620	-13711	0.049969	0.0819940958010239	5.1
10079	10084	21667	0.04641	0	5.1
100810	100813	13688	0	6.21521507231901	6.21521507231901
100815	100811	-13729	0	5.90452845364296	5.90452845364296
100815	100836	67426	0	6.80220583354781	6.80220583354781
100990	101014	117449	0	7.06674262058594	7.06674262058594
100990	101015	122643	0	12.9943802293657	12.9943802293657
100990	101017	133291	0	8.8715371398839	8.8715371398839
100990	101020	149258	0	9.45037931856996	9.45037931856996
100990	101021	155013	0	5.97765403073416	5.97765403073416
101010	101002	-36194	0	6.06966616831243	6.06966616831243
101010	101004	-25345	0.075642	20.8810461301759	20.8810461301759
101010	101005	-19977	0	6.70874964976704	6.70874964976704
101010	101006	-14910	0	6.64703921469652	6.64703921469652
101010	101007	-9673	0.046797	9.10961862783727	9.10961862783727
101010	101008	-4402	0.057589	7.50567098400792	7.50567098400792
101034	101008	-125583	0	5.04546178061095	5.04546178061095
101034	101066	161678	0	5.73850805297419	5.73850805297419
101034	101106	377160	0	5.84740437122607	5.84740437122607
101034	101110	397941	0	14.1264580975108	14.1264580975108
101034	101112	404880	0	7.91618745615207	7.91618745615207
101034	101122	451220	0	6.0621521692903	6.0621521692903
101111	101031	-409554	0	15.2403685579222	15.2403685579222
101111	101032	-403774	0.012394	34.5493515231779	34.5493515231779
101111	101036	-398103	0	35.6597740548281	35.6597740548281
101111	101037	-392941	0	40.2296260700349	40.2296260700349
101111	101038	-387711	0	34.9879351370357	34.9879351370357
101111	101039	-382285	0	26.4396842086947	26.4396842086947
101111	101040	-376590	0.009391	31.8426541533656	31.8426541533656
101111	101041	-370995	0	11.3492177563706	11.3492177563706
101111	101042	-365793	0	7.84310376586702	7.84310376586702
101111	101043	-360540	0	6.08578497847713	6.08578497847713
101111	101046	-344940	0	6.07482428977146	6.07482428977146
101111	101047	-339487	0	7.58018842756874	7.58018842756874
101111	101048	-334085	0	7.62487090250766	7.62487090250766
101111	101050	-323479	0	14.1835052964444	14.1835052964444
101111	101051	-318310	0	7.5035063061663	7.5035063061663
101111	101052	-313125	0	10.7503682828568	10.7503682828568
101111	101053	-308034	0.001875	15.8239175723458	15.8239175723458
101111	101054	-302918	0.001225	17.4784264296036	17.4784264296036
101111	101055	-297792	0	5.78293789486043	5.78293789486043
101111	101056	-292580	0	7.2846708876089	7.2846708876089
101111	101057	-287442	0	5.59765217898935	5.59765217898935
101111	101058	-282118	0	21.8976693142304	21.8976693142304
101111	101059	-276679	0.01095	18.1261908100882	18.1261908100882
101111	101060	-271280	0	15.1327694043283	15.1327694043283
101111	101061	-265961	0	10.1349004377932	10.1349004377932
101111	101065	-244889	0.007441	11.3704538608395	11.3704538608395
101111	101066	-239496	0	17.5045664828503	17.5045664828503
101111	101067	-234185	0	19.1522487673445	19.1522487673445
101111	101069	-223935	0	9.45576993556421	9.45576993556421
101111	101071	-213456	0	6.3262726642496	6.3262726642496
101111	101072	-207992	0	6.2509829093008	6.2509829093008
101111	101073	-202863	0	9.05530378570948	9.05530378570948
101111	101074	-197476	0	6.0993602388057	6.0993602388057
101111	101078	-175528	0	11.2210605741057	11.2210605741057
101111	101079	-170414	0	12.2217744532162	12.2217744532162
101111	101080	-165167	0.016935	63.2946924737585	63.2946924737585
101111	101080	-165167	0.015891	63.2946924737585	63.2946924737585
101111	101081	-159350	0	20.3277751021467	20.3277751021467
101111	101082	-153091	0	19.9526275997237	19.9526275997237
101111	101083	-147149	0	11.4654501558955	11.4654501558955
101111	101084	-141519	0	7.56430131811928	7.56430131811928
101111	101085	-136191	0	13.7266337191157	13.7266337191157
101111	101086	-130822	0.021634	29.2411867897494	29.2411867897494
101111	101087	-125463	0	18.0882555158114	18.0882555158114
101111	101088	-120264	0.020126	17.6926728728155	17.6926728728155
101111	101089	-114636	0	16.0096713213893	16.0096713213893
101111	101090	-108961	0.017175	14.5373599089247	14.5373599089247
101111	101091	-103651	0	8.42709491090758	8.42709491090758
101111	101093	-93194	0	5.76357048128877	5.76357048128877
101111	101094	-87773	0	5.52521857330917	5.52521857330917
101111	101099	-60648	0	12.3961717243582	12.3961717243582
101111	101100	-55393	0	6.06976418763523	6.06976418763523
101111	101107	-18619	0	6.93547918921541	6.93547918921541
101111	101110	947	0.057692	0	5.1
101112	101110	6568.5	0.043575	0	5.1
101112	101110	3396	0.041934	0	5.1
101121	101110	-49756	0.040664	0.462703470573938	5.1
101165	101032	-667309	0.004279	5.27983003893767	5.27983003893767
101165	101036	-661638	0	5.27564080883278	5.27564080883278
101165	101119	-220869	0	5.92704022335814	5.92704022335814
101165	101122	-213489	0	10.5476681923365	10.5476681923365
101165	101140	-122326	0.006659	7.78437827242007	7.78437827242007
101165	101157	-31244	0.021582	5.63499025067993	5.63499025067993
101165	101162	-5077	0	6.33365244678758	6.33365244678758
101165	101189	109389	0	5.39692449081577	5.39692449081577
101166	101004	-812139	0.008091	6.15152315845356	6.15152315845356
101166	101032	-668213	0.004182	13.920123615691	13.920123615691
101166	101036	-662542	0	12.2635756735257	12.2635756735257
101166	101037	-657380	0	7.51418703533966	7.51418703533966
101166	101038	-652150	0	10.6204147706703	10.6204147706703
101166	101066	-503935	0	5.7072055347244	5.7072055347244
101166	101112	-260733	0.004047	5.5283523655892	5.5283523655892
101166	101119	-221773	0	8.22625080519629	8.22625080519629
101166	101122	-214393	0	18.2992990527117	18.2992990527117
101166	101157	-32148	0.021237	6.69560276687319	6.69560276687319
101166	101162	-5981	0	7.55902284160911	7.55902284160911
101166	101170	21759	0.036889	7.40281061166459	7.40281061166459
101166	101171	26896	0	6.63497987165824	6.63497987165824
101166	101189	108485	0	5.17918693091073	5.17918693091073
101177	101180	14458	0.053376	1.52566912524907	5.1
101190	101162	-116366	0	5.1885727083793	5.1885727083793
101190	101167	-106282	0	6.41347663253564	6.41347663253564
101190	101180	-44169	0.040122	4.51948548229708	5.1
101190	101180	-44169	0.040179	4.51948548229708	5.1
101190	101181	-38485	0	5.95465450688548	5.95465450688548
101441	101439	-6350	0	5.78338125184571	5.78338125184571
101441	101443	7922	0	5.23885635774314	5.23885635774314
101441	101444	13174	0	7.83313387554262	7.83313387554262
101492	101485	-31381	0.033967	5.7551052909329	5.7551052909329
101492	101508	82192	0.004428	6.61942196775073	6.61942196775073
101524	101522	-7689	0	6.53600588894215	6.53600588894215
101524	101531	25669	0	5.8438499574166	5.8438499574166
101524	101557	114053	0	5.9329158415196	5.9329158415196
101525	101529	21639	0.051026	0	5.1
101525	101530	21639	0.051026	0	5.1
101536	101529	11983	0.050215	0	5.1
101536	101530	-11157	0.050215	0.0758638151529585	5.1
101538	101522	-43512	0	5.7439176272635	5.7439176272635
101538	101525	-32711	0	6.99838528593061	6.99838528593061
101540	101529	20276	0.049971	0	5.1
101540	101530	20276	0.049971	0	5.1
101556	101548	-31143	0.014046	6.23985310964142	6.23985310964142
101556	101549	-25880	0	7.78089513221671	7.78089513221671
101556	101558	8118	0.030547	11.4521108287838	11.4521108287838
101556	101559	13216	0	7.71606242700959	7.71606242700959
101556	101564	21701	0	5.37129556971733	5.37129556971733
101556	101566	32387	0	5.01208658635086	5.01208658635086
101556	101567	37471	0	6.53859334308235	6.53859334308235
101556	101570	44468	0	13.2775364047678	13.2775364047678
101561	101522	-136605	0	6.70996180124632	6.70996180124632
101561	101523	-131743	0	5.20268583239513	5.20268583239513
101561	101546	-59768	0	5.97647085950982	5.97647085950982
101561	101547	-54518	0	6.54017022250927	6.54017022250927
101561	101548	-49040	0	20.9629052102054	20.9629052102054
101561	101549	-43777	0	12.6061274025317	12.6061274025317
101561	101550	-38629	0	7.21498840400286	7.21498840400286
101561	101557	-14863	0	7.53314872726917	7.53314872726917
101561	101558	-9779	0	5.38923165859934	5.38923165859934
101561	101559	-4681	0	6.6720470410944	6.6720470410944
101561	101567	19574	0	12.490995131396	12.490995131396
101561	101570	26571	0	10.9596439677131	10.9596439677131
101561	101576	57726	0	5.74357845199507	5.74357845199507
101561	101582	72821	0	5.66817766798065	5.66817766798065
101563	101548	-49969	0.009625	5.45984866847687	5.45984866847687
101563	101567	18645	0	5.24800165896033	5.24800165896033
101563	101570	25642	0	5.76066209413502	5.76066209413502
101569	101548	-72274	0.007742	15.2118797661427	15.2118797661427
101569	101548	-72274	0.007641	15.2118797661427	15.2118797661427
101569	101549	-67011	0	6.91844179187042	6.91844179187042
101569	101557	-38097	0	8.82265977170051	8.82265977170051
101569	101558	-33013	0.025351	5.03618686094558	5.03618686094558
101569	101558	-33013	0.024935	5.03618686094558	5.03618686094558
101569	101564	-19430	0	7.21891178253886	7.21891178253886
101569	101567	-3660	0	5.54567260075815	5.54567260075815
101569	101576	34492	0	5.25676930747231	5.25676930747231
101579	101570	-36925	0	5.84055657174649	5.84055657174649
101589	101548	-146936	0.004176	5.33770604102673	5.33770604102673
101589	101570	-71325	0	6.16327696375737	6.16327696375737
101589	101586	-9159	0	7.62039817264727	7.62039817264727
101589	101587	-3841	0	16.4296057749815	16.4296057749815
101589	101594	24556	0	5.40472345929438	5.40472345929438
101589	101595	30034	0	9.21821638905685	9.21821638905685
101589	101599	42605	0.011395	5.32203323176074	5.32203323176074
101598	101587	-43278	0	5.78385072813864	5.78385072813864
101605	101617	39997	0	5.16949132560218	5.16949132560218
101614	101561	-193014	0	8.14974849494674	8.14974849494674
101614	101563	-192085	0	6.18168425126509	6.18168425126509
101614	101598	-55681	0	8.81734315334834	8.81734315334834
