Cell	Overlap	Total	Ratio	Mean	STD	Z-score	Enrichment	P-val	 Null_Model	disease	BH_FDR5per	BH_corrected_pval	Bon_corrected_pval	neg_log_ten	BH_neg_log_ten	Bon_neg_log_ten
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	0	5	0.0	0.236763	0.467854	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Phosphorus levels	False	0.683358633273703	1.0	0.3010299956639812	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	1	14	0.0714286	1.31668	1.04241	-0.3038	0.759484	0.61936	Null_Model_GWAS_SNP_SNPmatch	Renal cell carcinoma	False	0.7798212541254126	1.0	0.20805684602512012	0.10800493223652584	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	3	11	0.272727	2.21079	1.18175	0.667835	1.35698	0.25212	Null_Model_GWAS_SNP_SNPmatch	High grade serous ovarian cancer	False	0.683358633273703	1.0	0.5983927015464225	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	0	6	0.0	0.542458	0.642219	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Brown vs  non brown hair color	False	0.683358633273703	1.0	0.3010299956639812	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	10	134	0.0746269	13.4575	3.22745	-1.07129	0.743078	0.857981	Null_Model_GWAS_SNP_SNPmatch	Spherical equivalent or myopia  age of diagnosis	False	0.9246320663841807	1.0	0.06652232950155251	0.034031049236441104	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	16	248	0.0645161	27.5984	4.6018	-2.52041	0.579744	0.994139	Null_Model_GWAS_SNP_SNPmatch	Intelligence	False	0.999999	1.0	0.0025528885276854844	4.34294699063126e-07	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	1	22	0.0454545	1.68332	1.23475	-0.553404	0.594065	0.710007	Null_Model_GWAS_SNP_SNPmatch	Fasting blood glucose  BMI interaction	False	0.8382421777434311	1.0	0.14873736952544975	0.07663049060264912	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	6	46	0.130435	5.8961	2.13148	0.0487437	1.01762	0.480562	Null_Model_GWAS_SNP_SNPmatch	BMI  adjusted for smoking behaviour	False	0.683358633273703	1.0	0.3182505736128146	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	0	9	0.0	0.442557	0.623656	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Response to TNF inhibitor in rheumatoid arthritis  change in swollen 28 joint count	False	0.683358633273703	1.0	0.3010299956639812	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	7	62	0.112903	7.15185	2.39017	-0.0635302	0.978768	0.525328	Null_Model_GWAS_SNP_SNPmatch	Glomerular filtration rate  creatinine	False	0.7106830921985816	1.0	0.27956945066954175	0.14832401669800355	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	0	7	0.0	0.7003	0.778518	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Local histogram emphysema pattern	False	0.683358633273703	1.0	0.3010299956639812	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	8	80	0.1	10.043	2.77942	-0.735031	0.796578	0.76884	Null_Model_GWAS_SNP_SNPmatch	Smoking cessation  MTAG	False	0.8639542268041237	1.0	0.11416402996051463	0.06350926628613583	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	2	5	0.4	0.286713	0.516443	3.31748	6.97561	0.000454174	Null_Model_GWAS_SNP_SNPmatch	Iron status biomarkers  iron levels	True	0.0070721379999999995	0.346534762	3.342777731366237	2.1504492734398704	0.4602531934113565
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	0	14	0.0	1.17383	0.972499	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Prostate specific antigen levels  conditioned on lead SNPs	False	0.683358633273703	1.0	0.3010299956639812	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	5	22	0.227273	3.42058	1.62786	0.970242	1.46174	0.165963	Null_Model_GWAS_SNP_SNPmatch	Chronic obstructive pulmonary disease or high blood pressure  pleiotropy	False	0.6493834307692308	1.0	0.7799887233268561	0.18749879673449357	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	31	544	0.0569853	53.2278	6.58149	-3.37731	0.582403	0.999634	Null_Model_GWAS_SNP_SNPmatch	Self reported math ability	False	0.999999	1.0	0.00015898087565185303	4.34294699063126e-07	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	1	16	0.0625	1.6953	1.18746	-0.585538	0.589864	0.720907	Null_Model_GWAS_SNP_SNPmatch	Carpal tunnel syndrome	False	0.8397741083969466	1.0	0.1421207574607435	0.0758375194976461	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	20	217	0.0921659	24.5195	4.36759	-1.03478	0.815678	0.849613	Null_Model_GWAS_SNP_SNPmatch	Cognitive performance	False	0.9206016487252126	1.0	0.07077885103535703	0.035928251654057594	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	2	27	0.0740741	2.70529	1.41282	-0.49921	0.739291	0.691184	Null_Model_GWAS_SNP_SNPmatch	Sleep duration  short sleep	False	0.828120912087912	1.0	0.1604063237585274	0.08190624821650999	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	1	11	0.0909091	0.846154	0.840421	0.183058	1.18182	0.427376	Null_Model_GWAS_SNP_SNPmatch	Parental longevity  combined parental attained age  Martingale residuals	False	0.683358633273703	1.0	0.36918987000588116	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	7	70	0.1	4.54745	1.96265	1.24961	1.53932	0.105721	Null_Model_GWAS_SNP_SNPmatch	White blood cell count  basophil	False	0.525053	1.0	0.975838737590763	0.27979685574494234	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	134	1483	0.0903574	110.032	9.65634	2.4821	1.21783	0.00653049	Null_Model_GWAS_SNP_SNPmatch	Blood protein levels	False	0.06920505375	1.0	2.1850542312345285	1.1598621897109163	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	1	10	0.1	0.403596	0.612329	0.973992	2.47772	0.16503	Null_Model_GWAS_SNP_SNPmatch	Squamous cell carcinoma	False	0.6493834307692308	1.0	0.7824371003305716	0.18749879673449357	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	1	13	0.0769231	1.28372	0.974384	-0.291175	0.778988	0.614541	Null_Model_GWAS_SNP_SNPmatch	Venous thromboembolism	False	0.778894988372093	1.0	0.21144913722054465	0.10852109052348874	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	1	6	0.166667	0.532468	0.707951	0.660402	1.87805	0.254498	Null_Model_GWAS_SNP_SNPmatch	N glycan levels	False	0.683358633273703	1.0	0.5943156262638698	0.16535131451108545	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	25	210	0.119048	17.1858	3.76529	2.07532	1.45469	0.0189785	Null_Model_GWAS_SNP_SNPmatch	Breast cancer	False	0.16311568314606742	1.0	1.721738115800513	0.787504280674313	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	1	5	0.2	0.320679	0.527316	1.28826	3.11838	0.0988275	Null_Model_GWAS_SNP_SNPmatch	Alcohol consumption  transferrin glycosylation	False	0.5231419144736843	1.0	1.005122190671084	0.28138048261950277	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_filtered_PIR_overlapRE_intersection	3	36	0.0833333	2.68432	1.49875	0.210632	1.1176	0.416587	Null_Model_GWAS_SNP_SNPmatch	Basal cell carcinoma	False	0.683358633273703	1.0	0.3802942867559052	0.16535131451108545	-0.0
