disease	CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	CD4_1M_50K_5kb_within_newbmap_CHiCAGO_peakm_PIR_intersect_RE	CD4_1M_50K_merged_reweighting_peakmatrix_score5_PIR_intersect_RE	ILC3_merged_bin5K_score5_PIR_intersect_RE	ILC_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE
1 5 anhydroglucitol levels	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
3 hydroxy 1 methylpropylmercapturic acid levels in smokers	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
3 hydroxypropylmercapturic acid levels in smokers	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Abdominal aortic aneurysm	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Accelerometer based physical activity measurement  average acceleration	0.08255924355302695	0.11255693814265309	0.28538327204659963	0.20198353856708412	0.15302192659110153
Acne  severe	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Activated partial thromboplastin time	0.18048301318758575	0.2571936178746054	0.28538327204659963	0.21807557628687838	0.2031227503419761
Acute graft versus host disease in bone marrow transplantation  recipient effect	1.0288232848450427	1.0750639046788055	0.28538327204659963	0.29727246265647267	0.2626002941634616
Acute lymphoblastic leukemia  B cell precursor	6.448271520699217	2.5504183152124726	0.28538327204659963	1.1176532374636834	0.9251040499367623
Acute lymphoblastic leukemia  childhood	0.9641998514777883	1.2366339065742091	0.28538327204659963	0.9536739922516511	0.6521714630971602
Acute lymphoblastic leukemia in childhood  B cell precursor	1.9586708580889194	0.9936386639318742	0.28538327204659963	0.31393708885339083	0.2243626409596624
Acylcarnitine levels	0.1272343729391847	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Adiponectin levels	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Adiposity	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Adolescent idiopathic scoliosis	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Advanced age related macular degeneration	0.16201522243753047	0.1429165562769228	0.28538327204659963	0.13613510118747044	0.09564685373179241
Adventurousness	4.34294699063126e-07	8.68589832373386e-07	0.28538327204659963	0.0005686441529027947	4.34294699063126e-07
Age at first birth	0.16201522243753047	0.1603955296273753	0.28538327204659963	0.21807557628687838	0.2031227503419761
Age at first sexual intercourse	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Age at voice drop	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Age of smoking initiation	0.12850440745574615	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Age of smoking initiation  MTAG	4.34294699063126e-07	8.68589832373386e-07	0.28538327204659963	0.03378019871638803	0.00696542381660256
Age related disease endophenotypes	0.36199956874085887	0.585831457248255	0.28538327204659963	0.21807557628687838	0.2031227503419761
Age related diseases  mortality and associated endophenotypes	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Age related diseases and mortality	0.15387432234724474	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Age related macular degeneration	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Age related macular degeneration  choroidal neovascularisation	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alcohol consumption	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alcohol consumption  drinks per week	0.07643849221216768	0.0990383531695707	0.1689358862017929	0.21807557628687838	0.2031227503419761
Alcohol consumption  drinks per week   MTAG	0.1213973584594907	0.07988913862855007	0.28538327204659963	0.14971969719725514	0.09669627736652785
Alcohol consumption  transferrin glycosylation	0.34471438745050953	0.4473941891227146	11.262298667760964	0.21807557628687838	0.2031227503419761
Alcohol consumption in current drinkers	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alcohol dependence	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Alcohol use disorder  consumption score	0.11165489628929216	0.14972288766502032	0.28538327204659963	0.481485412422566	0.41849149846795475
Alcohol use disorder  total score	0.0823859052628076	0.11055362392777004	0.28538327204659963	0.21807557628687838	0.1575948065704972
Alcoholic chronic pancreatitis	0.16201522243753047	0.1804332961296298	0.28538327204659963	0.21807557628687838	0.2031227503419761
Allergic disease  asthma  hay fever or eczema	5.881973750914926	6.073750440921241	0.28538327204659963	5.150716296480518	5.232802419894659
Allergic rhinitis	0.43630990378634205	0.2775665409684437	0.28538327204659963	1.92459396206506	2.1107848427942946
Allergic sensitization	0.2036434513867201	0.30281790907682987	0.28538327204659963	8.195951292189791	6.594220780500372
