Cell	Overlap	Total	Ratio	Mean	STD	Z-score	Enrichment	P-val	 Null_Model	disease	BH_FDR5per	BH_corrected_pval	Bon_corrected_pval	neg_log_ten	BH_neg_log_ten	Bon_neg_log_ten
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	0	10	0.0	0.367632	0.564545	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Digit length ratio	False	0.6223491027732464	1.0	0.3010299956639812	0.20596593222751572	-0.0
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	2	18	0.111111	1.2028	1.06105	0.751332	1.66279	0.226226	Null_Model_GWAS_SNP_SNPmatch	Total body bone mineral density  age 45 60	False	0.6223491027732464	1.0	0.6454574833732805	0.20596593222751572	-0.0
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	8	144	0.0555556	5.5984	2.26419	1.06069	1.42898	0.144416	Null_Model_GWAS_SNP_SNPmatch	Myeloid white cell count	False	0.6223491027732464	1.0	0.8403846881599483	0.20596593222751572	-0.0
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	10	141	0.070922	9.08492	2.7007	0.338832	1.10073	0.367368	Null_Model_GWAS_SNP_SNPmatch	Alcohol consumption  drinks per week	False	0.6223491027732464	1.0	0.43489867608867167	0.20596593222751572	-0.0
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	1	15	0.0666667	1.07692	0.934386	-0.0823247	0.928571	0.532806	Null_Model_GWAS_SNP_SNPmatch	QRS complex  12 leadsum	False	0.6525376853932584	1.0	0.27343089316166785	0.18539440186595701	-0.0
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	3	24	0.125	2.04795	1.27267	0.748069	1.46488	0.227209	Null_Model_GWAS_SNP_SNPmatch	Nevus count or cutaneous melanoma	False	0.6223491027732464	1.0	0.6435744697351247	0.20596593222751572	-0.0
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	3	40	0.075	2.12488	1.37018	0.638694	1.41185	0.261511	Null_Model_GWAS_SNP_SNPmatch	Coronary artery disease	False	0.6223491027732464	1.0	0.5825100385793974	0.20596593222751572	-0.0
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	0	9	0.0	0.609391	0.725446	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Tanning	False	0.6223491027732464	1.0	0.3010299956639812	0.20596593222751572	-0.0
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	2	9	0.222222	0.297702	0.550713	3.09108	6.71812	0.000997149	Null_Model_GWAS_SNP_SNPmatch	Hematological parameters	True	0.018005203023255815	0.7608246869999999	3.0012399419462246	1.7446019772428436	0.11871540399134427
ILC3_chicago_fres_5kb_abc_fres_extended_peakm_PIR_intersect_RE	1	31	0.0322581	1.96004	1.33207	-0.720715	0.510194	0.764457	Null_Model_GWAS_SNP_SNPmatch	Vertical cup disc ratio	False	0.8344502017167382	1.0	0.1166469382280224	0.07859957601882335	-0.0
