GeneName	CD4_mean
A1BG	666.0
A1CF	43.0
A2M	494.0
A2ML1	89.5
A2MP1	114.25
A4GALT	128.25
AAAS	2411.0
AACS	1231.25
AADACL3	2.75
AADAT	28.25
AAGAB	429.0
AAK1	6141.0
AAMDC	628.75
AAMP	501.0
AANAT	7.75
AAR2	752.5
AARD	412.25
AARS1	2820.0
AARS2	619.0
AARSD1	568.25
AASDH	83.75
AASDHPPT	284.0
AASS	800.5
AATF	4504.5
AATK	1.5
ABAT	605.5
ABCA1	397.75
ABCA10	36.75
ABCA11P	65.0
ABCA12	4.75
ABCA13	165.75
ABCA17P	13.75
ABCA2	680.75
ABCA3	185.75
ABCA5	662.0
ABCA6	260.5
ABCA7	549.5
ABCA8	735.5
ABCA9	338.75
ABCB1	139.0
ABCB10	510.0
ABCB11	92.0
ABCB4	21.25
ABCB5	772.75
ABCB6	221.25
ABCB7	669.5
ABCB8	771.75
ABCB9	551.25
ABCC1	2251.75
ABCC10	1443.25
ABCC11	55.5
ABCC13	10.25
ABCC2	151.25
ABCC3	185.0
ABCC4	617.5
ABCC5	479.75
ABCC6	301.0
ABCC6P1	0.0
ABCC8	59.5
ABCC9	981.75
ABCD1	82.5
ABCD2	209.75
ABCD3	1020.25
ABCD4	981.5
ABCE1	4325.5
ABCF1	7776.0
ABCF2	2708.5
ABCF3	919.0
ABCG1	1156.5
ABCG2	17.5
ABCG4	2.5
ABCG5	22.25
ABCG8	119.0
ABHD1	258.0
ABHD10	1060.75
ABHD11	562.0
ABHD11-AS1	8.25
ABHD12	245.5
ABHD12B	614.75
ABHD13	360.5
ABHD14A	156.0
ABHD14A-ACY1	23.0
ABHD14B	1261.25
ABHD15	286.25
ABHD16A	590.0
ABHD16B	17.0
ABHD17A	770.0
ABHD17B	518.75
ABHD17C	121.0
ABHD18	1780.5
ABHD2	2812.25
ABHD3	304.25
ABHD4	281.25
ABHD5	463.5
ABHD6	111.75
ABHD8	33.0
ABI1	3629.25
ABI1P1	5.0
ABI2	2989.75
ABI3	338.0
ABI3BP	64.75
ABITRAM	307.5
ABL1	1031.25
ABL2	1947.25
ABLIM1	6742.75
ABLIM2	22.5
ABLIM3	1.5
ABO	498.25
ABR	2579.0
ABRA	46.25
ABRACL	181.25
ABRAXAS1	1687.75
ABRAXAS2	460.5
ABT1	295.5
ABT1P1	10.0
ABTB1	351.5
ABTB2	150.25
AC000078.1	21.25
AC000081.1	0.5
AC000089.1	4.25
AC000095.1	1.75
AC000120.3	24.25
AC000120.4	4.75
AC000367.1	55.0
AC001226.2	540.75
AC002059.3	40.25
AC002075.2	6.5
AC002094.3	6.5
AC002310.3	4.75
AC002381.1	4.5
AC002472.2	6.75
AC002472.3	0.0
AC002543.1	74.5
AC002558.1	31.0
AC002984.1	7.0
AC003002.2	52.5
AC003002.3	2.75
AC003005.1	0.0
AC003006.1	58.75
AC003042.2	51.0
AC003071.1	0.0
AC003072.1	8.0
AC003989.1	46.25
AC003989.2	32.75
AC004024.1	0.75
AC004057.1	535.25
AC004076.1	5.0
AC004129.2	1.0
AC004217.2	4.25
AC004223.1	2.75
AC004224.1	2.0
AC004381.3	5.5
AC004381.4	4.75
AC004383.1	0.75
AC004386.1	2.0
AC004453.1	10.75
AC004461.2	34.5
AC004486.1	0.5
AC004552.1	0.0
AC004556.3	0.0
AC004584.2	2.75
AC004593.2	2.0
AC004678.1	4.75
AC004687.2	83.25
AC004696.1	25.25
AC004706.2	2.75
AC004801.1	26.25
AC004801.2	118.25
AC004805.1	44.0
AC004812.1	13.25
AC004832.3	2.0
AC004858.1	2.5
AC004865.1	7.25
AC004884.1	12.5
AC004890.1	0.25
AC004890.2	263.75
AC004890.3	56.75
AC004898.1	25.0
AC004910.1	68.5
AC004922.1	279.75
AC004923.1	12.75
AC004951.2	7.75
AC004951.3	16.75
AC004967.1	18.75
AC004975.1	20.0
AC004980.3	62.0
AC004980.6	136.5
AC004980.7	26.75
AC004987.3	6.75
AC004997.1	46.75
AC005014.1	2.75
AC005020.1	4.5
AC005041.1	677.5
AC005070.1	3.5
AC005070.2	5.75
AC005077.1	9.5
AC005077.4	14.25
AC005084.1	7.0
AC005086.3	34.5
AC005086.4	345.25
AC005086.5	31.0
AC005088.1	5.75
AC005094.1	2.75
AC005099.1	12.5
AC005104.2	6.5
AC005154.1	7.75
AC005154.2	397.75
AC005154.5	49.5
AC005156.1	2.25
AC005165.2	0.75
AC005176.1	156.25
AC005183.1	60.0
AC005189.1	0.25
AC005230.1	36.0
AC005244.1	6.0
AC005252.4	49.75
AC005258.1	0.0
AC005262.1	0.5
AC005300.1	2.75
AC005324.3	72.0
AC005351.1	3.0
AC005410.1	45.5
AC005476.1	14.75
AC005515.1	96.25
AC005520.3	19.25
AC005531.1	374.0
AC005587.1	2.5
AC005632.4	0.25
AC005670.2	1322.25
AC005682.1	129.75
AC005702.1	4.75
AC005702.2	27.0
AC005726.1	10.5
AC005776.1	1.75
AC005828.6	1.25
AC005828.7	0.25
AC005832.4	2.5
AC005833.1	148.0
AC005840.1	2.5
AC005840.3	33.5
AC005865.1	192.0
AC005912.1	10.0
AC005972.2	1.5
AC006001.3	2881.0
AC006001.4	0.0
AC006023.2	0.5
AC006028.1	2.75
AC006030.1	47.75
AC006033.1	0.5
AC006042.2	66.0
AC006064.6	1891.75
AC006077.1	3.75
AC006116.8	0.0
AC006122.1	32.0
AC006144.1	71.25
AC006195.1	3.0
AC006254.1	203.75
AC006254.3	21.5
AC006270.2	1.0
AC006349.1	0.5
AC006445.1	0.5
AC006445.2	0.5
AC006449.4	0.0
AC006453.3	5.0
AC006480.2	21.5
AC006499.1	4.5
AC006504.3	8.5
AC006509.1	166.5
AC006518.4	2.25
AC006518.5	4.0
AC006529.1	23.25
AC006539.1	3.5
AC006539.2	9.75
AC006946.1	10.25
AC006978.1	97.5
AC006978.2	12.5
AC007000.2	7.5
AC007000.3	15.0
AC007016.1	6.5
AC007040.2	150.75
AC007066.1	8.5
AC007068.1	339.5
AC007151.1	7.25
AC007160.1	4.0
AC007161.1	29.25
AC007161.2	12.25
AC007182.2	2.25
AC007192.1	114.75
AC007204.1	3.0
AC007207.1	5.5
AC007224.1	5.0
AC007225.1	4.25
AC007229.1	0.25
AC007238.1	5.75
AC007253.1	3.0
AC007262.1	2.5
AC007279.1	12.0
AC007312.1	3.5
AC007318.3	186.25
AC007325.1	76.0
AC007325.2	4.25
AC007325.4	1.0
AC007326.4	2848.25
AC007342.3	245.25
AC007347.2	72.75
AC007365.2	1.5
AC007386.1	1.75
AC007424.1	95.75
AC007458.1	9.5
AC007494.1	20.75
AC007537.1	0.75
AC007546.3	2210.0
AC007551.2	3.75
AC007599.1	8.5
AC007610.4	3.5
AC007618.1	0.0
AC007619.2	8.5
AC007663.1	3.75
AC007683.1	6.25
AC007685.1	0.75
AC007686.1	0.5
AC007688.2	33.75
AC007731.2	26.75
AC007738.1	2.0
AC007834.2	12.0
AC007842.1	161.0
AC007906.2	30.0
AC007919.1	3.25
AC007954.1	1.5
AC007956.2	18.0
AC008012.1	241.25
AC008013.2	156.75
AC008013.3	8.0
AC008013.4	7.5
AC008026.1	6.25
AC008026.2	1.75
AC008038.1	347.75
AC008040.2	3.75
AC008072.1	97.0
AC008073.3	231.75
AC008105.2	13.25
AC008132.1	115.0
AC008134.1	0.25
AC008147.3	6.25
AC008264.1	3.25
AC008267.2	23.75
AC008267.3	2.75
AC008267.4	12.0
AC008267.6	3.5
AC008267.7	1.0
AC008277.2	4.75
AC008417.1	11.5
AC008429.4	7.75
AC008481.1	33.0
AC008481.2	20.25
AC008489.1	0.25
AC008494.1	7.5
AC008498.1	8.0
AC008507.1	37.25
AC008555.6	2.0
AC008565.1	121.25
AC008567.1	28.0
AC008575.1	53.5
AC008581.2	6.5
AC008608.1	1.5
AC008626.1	10.0
AC008626.2	26.0
AC008638.2	0.25
AC008676.2	3.0
AC008676.3	240.5
AC008677.2	3.25
AC008687.4	12.0
AC008716.1	0.0
AC008750.8	0.0
AC008751.1	4.75
AC008752.4	40.0
AC008753.1	0.75
AC008758.1	228.5
AC008758.4	76.25
AC008758.6	32.75
AC008763.2	0.0
AC008764.1	2.25
AC008770.2	48.5
AC008799.1	0.5
AC008802.1	1.0
AC008813.1	5.75
AC008850.2	5.5
AC008868.1	6.5
AC008878.2	3.75
AC008953.1	161.5
AC008958.1	13.25
AC008982.1	0.0
AC009022.2	0.5
AC009027.1	6.25
AC009053.2	901.0
AC009075.2	3.0
AC009078.2	2.25
AC009091.1	3.25
AC009093.3	1504.25
AC009093.8	17.0
AC009093.9	136.0
AC009108.1	1.0
AC009117.1	0.75
AC009120.1	29.25
AC009133.6	5.75
AC009153.1	8.25
AC009163.5	101.75
AC009220.1	0.25
AC009220.2	297.25
AC009220.3	2.0
AC009237.3	38.0
AC009245.1	10.0
AC009248.1	2.5
AC009268.1	7.0
AC009299.1	34.75
AC009303.1	1.75
AC009362.1	4.5
AC009452.1	37.75
AC009474.2	1.5
AC009533.1	203.5
AC009533.3	7.5
AC009542.2	17.0
AC009570.2	26.0
AC009690.1	44.0
AC009779.4	312.0
AC009879.1	156.5
AC009879.2	0.0
AC009879.3	50.25
AC009927.1	57.0
AC009948.1	6.0
AC009961.2	4.75
AC009963.2	3.0
AC009977.1	6.75
AC010087.1	68.75
AC010099.1	3.75
AC010132.3	159.0
AC010182.1	1.25
AC010186.2	375.25
AC010197.2	67.25
AC010203.1	101.75
AC010240.3	41.25
AC010287.1	63.25
AC010301.1	5.75
AC010319.1	317.75
AC010323.1	0.0
AC010325.1	28.25
AC010326.2	9.25
AC010326.4	220.25
AC010329.2	154.0
AC010329.3	0.5
AC010332.3	41.0
AC010343.1	6.25
AC010409.1	0.25
AC010422.3	261.0
AC010422.6	44.5
AC010422.8	965.5
AC010442.2	4.75
AC010469.1	2.75
AC010469.2	1.5
AC010522.1	3.5
AC010531.1	4.75
AC010542.3	0.0
AC010547.4	18.25
AC010614.1	0.75
AC010615.1	42.75
AC010618.1	0.75
AC010619.2	88.0
AC010627.1	10.0
AC010653.1	11.75
AC010653.3	24.25
AC010655.3	10.5
AC010677.1	1.75
AC010683.1	2.25
AC010724.2	1.5
AC010867.1	221.25
AC010886.1	105.75
AC010970.1	271895.5
AC011043.1	40.75
AC011043.3	4.75
AC011247.2	3.0
AC011290.2	6.5
AC011295.1	4171.75
AC011295.2	18.0
AC011330.1	15.75
AC011330.3	9.25
AC011342.1	40.0
AC011406.1	2.0
AC011416.2	0.25
AC011444.4	0.75
AC011447.4	5.0
AC011448.1	90.5
AC011451.2	2.75
AC011458.1	7.0
AC011458.2	4.25
AC011462.1	107.5
AC011467.4	0.0
AC011475.1	308.75
AC011476.11	0.0
AC011487.1	0.5
AC011487.2	43.0
AC011495.1	4.0
AC011497.2	28.25
AC011498.4	234.25
AC011498.5	0.5
AC011499.1	3.5
AC011503.3	2.5
AC011506.1	0.75
AC011511.1	146.75
AC011511.4	3898.25
AC011611.5	41.5
AC011816.1	3.0
AC011825.1	13.0
AC011891.3	0.0
AC011921.3	5.25
AC011933.1	6.5
AC011939.1	23.5
AC011979.1	1.25
AC012065.2	4.75
AC012066.1	2.75
AC012158.1	80.5
AC012170.1	4.25
AC012184.2	0.0
AC012186.1	3.5
AC012213.5	119.75
AC012254.2	83.5
AC012254.4	9.75
AC012309.1	27.75
AC012314.13	424.25
AC012358.3	40.75
AC012433.1	0.0
AC012435.2	1131.25
AC012441.1	43.75
