	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
A1BG	279	535	537	311	335	407
A1CF	1	10	5	7	5	7
A2M	11	37	38	55	0	20
A2ML1	30	55	80	66	49	47
A2MP1	0	8	1	5	0	4
A4GALT	51	235	104	131	78	182
AAAS	172	2207	722	1108	693	1398
AACS	649	1431	937	903	410	989
AADAT	0	11	1	9	0	10
AAGAB	2822	2905	1607	2101	702	1962
AAK1	3062	7191	3457	3703	919	4839
AAMDC	475	759	498	480	180	498
AAMP	4498	4937	2723	2935	811	3207
AANAT	21	11	0	23	0	4
AAR2	4617	4110	1741	2540	774	2464
AARD	52	153	88	122	75	106
AARS1	4226	2409	1567	1706	1641	1897
AARS2	67	361	113	215	656	358
AARSD1	1325	2205	1416	1277	115	1186
AASDH	174	918	411	567	123	781
AASDHPPT	3209	3043	1013	1582	3	2346
AASS	23	458	631	635	80	428
AATF	1298	2127	1248	1021	725	1223
AATK	1	69	2	10	1	17
ABAT	118	642	218	387	107	332
ABCA1	3459	8484	2530	4187	2684	8011
ABCA10	0	30	31	10	0	36
ABCA11P	12	231	93	60	0	58
ABCA13	26	99	73	48	43	51
ABCA17P	10	43	21	26	4	34
ABCA2	192	374	430	120	1	144
ABCA3	26	145	9	70	1	65
ABCA5	1179	2327	1035	1215	21	1689
ABCA6	45	170	40	117	51	90
ABCA7	132	169	188	100	334	92
ABCA8	32	108	35	62	7	48
ABCA9	64	252	136	149	104	146
ABCB1	3736	4136	2044	2612	2642	4835
ABCB10	11	722	205	347	1	399
ABCB11	29	56	29	34	15	27
ABCB4	0	9	0	14	0	7
ABCB5	272	947	390	637	49	1062
ABCB6	7	48	8	57	0	16
ABCB7	583	1534	1130	1174	414	1326
ABCB8	133	506	389	239	1127	368
ABCB9	172	241	269	192	123	187
ABCC1	842	3282	2044	2016	771	2636
ABCC10	2196	1554	1131	1061	1070	1128
ABCC11	39	54	34	41	0	32
ABCC13	9	14	7	8	5	4
ABCC2	22	74	74	97	23	77
ABCC3	49	139	80	101	432	83
ABCC4	289	421	762	436	301	317
ABCC5	394	738	802	435	0	525
ABCC6	100	279	110	146	29	150
ABCC6P1	0	9	6	7	0	0
