GeneName	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717	SRR4290846	SRR4290852	SRR4290853	SRR4290854
A1BG	876	508	575	276	222	387	774	777	474	639
A1CF	1	8	5	6	4	7	36	31	38	67
A2M	20	50	44	66	0	21	1122	638	172	44
A2ML1	37	84	76	102	49	65	80	90	78	110
A2MP1	0	21	1	4	0	3	273	168	11	5
A4GALT	67	203	91	122	96	134	140	121	129	123
AAAS	177	2475	699	1072	543	1379	1003	1615	4511	2515
AACS	784	1448	935	989	533	1004	1178	1261	1149	1337
AADACL3	0	2	0	1	0	0	5	3	2	1
AADAT	0	7	1	7	0	7	35	15	25	38
AAGAB	2657	2725	1427	1910	630	1596	352	190	566	608
AAK1	7419	12150	4923	4870	2415	6876	9322	8067	3510	3665
AAMDC	559	852	557	549	177	557	607	648	576	684
AAMP	4426	4651	2509	2813	716	3130	302	249	1029	424
AANAT	18	10	0	22	0	4	2	18	3	8
AAR2	4050	3647	1535	2230	649	2196	622	372	930	1086
AARD	43	127	72	103	57	89	435	516	333	365
AARS1	4762	3127	1979	2143	1546	2077	621	652	5559	4448
AARS2	76	429	128	309	705	448	475	377	852	772
AARSD1	1032	2229	1403	1246	126	1174	330	210	841	892
AASDH	480	1638	441	832	282	861	170	55	65	45
AASDHPPT	2967	3662	1924	2227	2	2649	100	170	507	359
AASS	18	363	537	562	57	339	1113	1230	394	465
AATF	1156	1958	1142	969	585	1144	2282	2506	7255	5975
AATK	4	68	1	11	1	27	0	2	0	4
ABAT	87	556	296	368	88	315	659	723	497	543
ABCA1	3318	6820	1980	3412	1967	6516	675	232	427	257
ABCA10	0	24	13	11	0	50	74	21	40	12
ABCA11P	9	178	72	47	0	45	41	83	105	31
ABCA12	0	0	0	2	0	0	0	3	9	7
ABCA13	25	101	72	48	45	52	219	156	139	149
ABCA17P	13	45	26	32	5	42	17	15	13	10
ABCA2	167	396	771	114	1	163	804	1311	260	348
ABCA3	23	99	9	54	3	83	227	197	140	179
ABCA5	1322	1866	734	912	39	1164	762	710	600	576
ABCA6	32	197	25	118	46	83	367	255	197	223
ABCA7	446	298	207	124	255	168	656	1362	109	71
ABCA8	25	87	27	48	6	37	853	1012	420	657
ABCA9	56	200	122	120	85	128	554	332	198	271
ABCB1	3242	3701	2039	1993	3582	4574	141	265	67	83
ABCB10	9	659	170	330	1	356	399	322	782	537
ABCB11	31	61	31	37	15	29	76	95	74	123
ABCB4	0	4	0	10	0	9	9	48	24	4
ABCB5	217	713	287	417	44	817	819	971	388	913
ABCB6	4	61	5	86	0	37	42	40	305	498
ABCB7	1331	2242	1339	1923	216	2044	497	571	776	834
ABCB8	618	643	375	230	484	349	368	462	912	1345
ABCB9	595	209	234	168	103	191	657	569	390	589
ABCC1	881	3029	2355	2283	1677	2373	1638	1905	2558	2906
ABCC10	1562	1802	1334	1316	979	1422	1559	1398	1228	1588
ABCC11	32	46	28	35	0	27	44	115	28	35
ABCC13	8	13	7	7	4	3	7	2	11	21
ABCC2	30	72	78	72	26	79	172	160	135	138
ABCC3	54	141	91	91	314	104	209	233	135	163
ABCC4	158	522	527	470	431	348	316	358	879	917
ABCC5	514	794	1335	605	0	637	463	431	570	455
ABCC6	110	267	113	190	29	166	387	283	228	306
ABCC6P1	0	6	22	5	0	0	0	0	0	0
ABCC8	15	62	23	32	38	18	84	63	35	56
ABCC9	161	286	206	205	86	168	1124	1204	602	997
ABCD1	45	21	6	9	10	13	90	86	21	133
ABCD2	166	59	209	130	0	72	333	468	13	25
ABCD3	483	429	667	340	41	644	334	294	2294	1159
ABCD4	1584	2305	1249	1679	1809	2681	1207	1118	613	988
ABCE1	2591	2444	1687	1664	31	1547	1408	1205	7626	7063
ABCF1	3088	5917	1240	1672	1894	2983	2944	1813	12856	13491
ABCF2	5327	6428	2407	2931	1108	4013	866	383	4603	4982
ABCF3	783	3345	940	1719	480	2677	1005	524	1178	969
ABCG1	106	269	278	294	151	184	1558	1543	711	814
ABCG2	1	228	539	583	1	394	9	16	10	35
ABCG4	2	0	0	0	0	0	10	0	0	0
ABCG5	7	19	8	10	14	12	15	18	23	33
ABCG8	38	68	38	39	21	39	97	126	104	149
ABHD1	621	136	376	192	62	147	188	203	360	281
ABHD10	1042	984	242	587	226	593	744	532	1458	1509
ABHD11	129	228	712	139	71	321	589	671	476	512
ABHD11-AS1	0	0	0	0	0	6	6	11	14	2
ABHD12	72	171	68	66	3	33	226	147	333	276
ABHD12B	19	113	83	75	30	79	544	814	406	695
ABHD13	1271	388	187	257	78	561	295	307	391	449
ABHD14A	376	333	193	224	347	307	102	183	137	202
ABHD14A-ACY1	0	260	111	212	1011	163	1	0	57	34
ABHD14B	1136	2037	933	1030	541	1026	1568	1850	852	775
ABHD15	3207	7402	3371	4000	3698	7604	224	278	373	270
ABHD16A	1140	1715	451	990	499	1321	492	524	498	846
ABHD16B	0	0	1	0	0	2	27	16	13	12
ABHD17A	45	39	28	25	65	63	754	1074	701	551
ABHD17B	250	728	105	332	13	310	528	412	583	552
ABHD17C	1	10	106	1	0	9	33	52	288	111
ABHD18	346	2299	624	800	65	900	1941	1899	1569	1713
ABHD2	2473	2949	2700	1683	338	2164	2011	2235	4388	2615
ABHD3	246	547	282	200	1483	324	305	429	268	215
ABHD4	972	3267	193	1060	0	2472	606	432	27	60
ABHD5	1442	647	317	362	10	443	405	311	495	643
ABHD6	45	126	48	67	47	63	101	110	99	137
ABHD8	7	6	11	4	26	4	27	52	31	22
ABI1	2573	3660	1813	2149	1370	2411	3634	4334	2989	3560
ABI1P1	0	0	0	0	0	1	1	1	17	1
ABI2	2068	1338	801	786	204	1181	3322	2351	3484	2802
ABI3	2037	142	1068	46	1248	334	326	159	434	433
ABI3BP	25	68	29	57	26	55	62	77	37	83
ABITRAM	3	561	304	413	1	280	217	154	483	376
ABL1	11	500	149	280	144	524	528	774	1873	950
ABL2	68	1013	483	693	619	617	2862	1833	1380	1714
ABLIM1	7084	8063	4279	6112	4210	6874	10830	8266	4229	3646
ABLIM2	1	26	16	16	3	2	59	17	7	7
ABLIM3	41	60	2	3	0	11	0	0	1	5
ABO	19	598	15	161	22	58	27	1536	35	395
ABR	559	863	418	1120	75	688	1186	3898	3670	1562
ABRA	19	54	78	51	14	30	65	38	42	40
ABRACL	6101	8165	2851	4691	2067	4351	101	105	292	227
ABRAXAS1	864	535	304	390	101	429	1970	2138	1312	1331
ABRAXAS2	668	761	479	593	1	648	181	228	789	644
ABT1	2464	3244	1723	1995	574	2359	281	199	365	337
ABT1P1	0	0	0	0	0	0	0	12	17	11
ABTB1	1567	2377	1506	1371	1420	1575	903	435	19	49
ABTB2	0	167	5	47	0	114	19	25	386	171
AC000078.1	0	0	0	0	0	0	10	66	4	5
AC000081.1	3	1	0	4	0	1	1	0	1	0
AC000089.1	7	4	2	2	19	0	5	1	6	5
AC000095.1	0	0	0	4	0	3	7	0	0	0
AC000120.3	0	4	0	2	26	6	19	27	14	37
AC000120.4	0	0	0	0	0	0	0	0	9	10
AC000367.1	17	24	5	12	8	15	76	52	28	64
AC001226.2	193	286	132	221	107	249	618	490	467	588
AC002059.3	0	4	0	8	0	7	30	46	43	42
AC002075.2	3	8	4	7	0	5	8	9	7	2
AC002094.3	0	0	0	0	0	0	4	5	10	7
AC002310.3	0	6	0	0	0	1	0	0	19	0
AC002381.1	0	0	0	1	0	1	5	5	6	2
AC002472.2	35	80	79	50	1	35	0	17	4	6
AC002472.3	0	5	0	1	0	4	0	0	0	0
AC002543.1	5	47	74	26	0	40	156	62	33	47
AC002558.1	3	157	130	69	0	88	41	58	14	11
AC002984.1	0	3	0	0	0	0	9	9	7	3
AC003002.2	33	88	24	23	6	24	52	42	50	66
AC003002.3	0	25	0	30	0	13	9	0	0	2
AC003005.1	20	32	0	0	0	15	0	0	0	0
AC003006.1	26	32	14	22	0	15	83	52	64	36
AC003042.2	1	11	0	8	395	3	114	48	28	14
AC003071.1	16	3	0	5	0	4	0	0	0	0
AC003072.1	3	158	25	37	3	36	8	15	8	1
AC003989.1	0	0	0	0	0	0	58	33	41	53
AC003989.2	0	2	0	2	0	0	31	18	39	43
AC004024.1	3	52	15	27	69	15	3	0	0	0
AC004057.1	117	343	33	8	9	0	58	565	996	522
AC004076.1	0	4	6	6	0	0	0	0	8	12
AC004129.2	4	0	0	3	3	3	0	0	2	2
AC004217.2	0	0	0	2	0	2	3	0	1	13
AC004223.1	0	2	0	4	0	1	2	3	1	5
AC004224.1	0	1	2	0	4	2	1	6	1	0
AC004381.3	0	0	0	0	0	1	12	6	2	2
AC004381.4	0	0	0	1	0	0	3	8	1	7
AC004383.1	0	8	1	2	0	2	0	0	0	3
AC004386.1	7	6	4	8	4	4	0	1	6	1
AC004453.1	11	14	7	10	3	10	11	10	6	16
AC004461.2	6	0	0	3	0	0	22	51	36	29
AC004486.1	0	4	2	1	0	2	1	0	1	0
AC004552.1	0	4	3	0	10	3	0	0	0	0
AC004556.3	0	0	17	12	0	21	0	0	0	0
AC004584.2	2	9	1	5	0	3	2	5	0	4
AC004593.2	0	0	0	0	5	0	2	0	0	6
AC004678.1	0	2	0	0	0	0	1	4	3	11
AC004687.2	18	61	21	16	0	23	106	136	24	67
AC004696.1	123	110	35	49	10	78	21	21	31	28
AC004706.2	0	1	0	0	0	2	0	6	1	4
AC004801.1	68	40	20	10	0	54	17	36	32	20
AC004801.2	2	1	1	0	0	3	104	129	111	129
AC004805.1	0	0	0	0	0	0	77	84	0	15
AC004812.1	0	0	0	0	0	0	4	4	25	20
AC004832.3	0	17	0	0	0	0	6	1	0	1
AC004858.1	0	5	0	4	0	3	5	5	0	0
AC004865.1	91	22	36	32	0	39	1	2	9	17
AC004884.1	2	1	28	1	1	2	9	9	4	28
AC004890.1	176	350	186	231	118	185	0	1	0	0
AC004890.2	10	62	11	17	34	40	439	325	156	135
