CD4_ABC_enhancer_count_bins	Gene_Name	Mean_Gene_Expression
1	AACS	1231.25
1	AARS2	619.0
1	AARSD1	568.25
1	AASS	800.5
1	ABCA5	662.0
1	ABCA8	735.5
1	ABCB10	510.0
1	ABCB4	21.25
1	ABCB5	772.75
1	ABCB8	771.75
1	ABCB9	551.25
1	ABCC6	301.0
1	ABHD11-AS1	8.25
1	ABL1	1031.25
1	ABLIM2	22.5
1	ABO	498.25
1	ABRACL	181.25
1	ABTB1	351.5
1	ACBD6	794.5
1	ACER3	440.0
1	ACIN1	5503.75
1	ACOT4	43.75
1	ACOXL	213.25
1	ACRBP	27.75
1	ACRV1	44.5
1	ACSF2	67.0
1	ACSL1	851.5
1	ACSM2A	330.75
1	ACSM2B	80.0
1	ACSM5	4.25
1	ACSS2	283.25
1	ACTL10	26.25
1	ACVRL1	22.5
1	ACY1	600.0
1	ADA2	1877.0
1	ADAM10	14055.0
1	ADAM12	118.5
1	ADAM20	12.5
1	ADAM23	92.0
1	ADAM3A	36.25
1	ADAMTS16	15.75
1	ADAMTS7	9.25
1	ADAMTSL5	273.5
1	ADARB2	112.5
1	ADCY10P1	163.25
1	ADCY3	947.25
1	ADCY6	31.0
1	ADD2	792.5
1	ADGB	97.0
1	ADGRA2	31.25
1	ADGRE2	303.75
1	ADGRF1	448.75
1	ADGRG6	12.25
1	ADGRL1	2487.25
1	ADGRL2	0.25
1	ADH4	168.75
1	ADH7	3.25
1	ADI1	1219.0
1	ADO	266.5
1	ADPRH	106.25
1	ADPRHL1	88.25
1	ADRA1A	416.5
1	AFDN	1692.75
1	AGAP1	81.5
1	AGAP4	382.75
1	AGAP5	359.25
1	AGAP6	1197.0
1	AGBL4	76.75
1	AGO4	352.25
1	AGPAT2	45.0
1	AHCTF1P1	38.75
1	AHDC1	320.75
1	AHRR	274.0
1	AIFM3	8.5
1	AIRE	71.5
1	AJAP1	19.0
1	AK2	4334.75
1	AKAP11	3722.0
1	AKAP3	23.5
1	AKAP9	3957.25
1	AKNAD1	55.0
1	AKR1C1	40.25
1	AKR1C2	77.25
1	AKR1E2	56.5
1	AKT2	4485.25
1	ALDH1B1	408.25
1	ALDH1L1	173.5
1	ALDH1L2	159.5
1	ALDH2	1271.0
1	ALG3	1944.25
1	ALKBH5	1569.5
1	ALKBH7	44.0
1	ALKBH8	1029.25
1	ALOX12	90.75
1	ALOX12P2	574.5
1	ALOX15	30.0
1	ALOX15P1	352.75
1	ALS2	571.0
1	ALX3	8.75
1	AMDHD2	232.75
1	AMER1	101.5
1	AMER2	55.0
1	AMFR	989.5
1	AMMECR1L	608.0
1	AMN	36.5
1	AMT	549.75
1	ANAPC5	3688.75
1	ANGPT1	61.25
1	ANGPT4	60.25
1	ANGPTL4	74.0
1	ANKDD1B	11.0
1	ANKK1	18.25
1	ANKLE1	909.5
1	ANKRD13A	1521.25
1	ANKRD17	4611.5
1	ANKRD18A	155.5
1	ANKRD18B	34.75
1	ANKRD18DP	8.25
1	ANKRD20A1	107.75
1	ANKRD20A11P	71.25
1	ANKRD29	51.5
1	ANKRD35	1.75
1	ANKRD36	3249.0
1	ANKRD53	11.75
1	ANKRD65	24.0
1	ANKUB1	219.75
1	ANO5	23.25
1	ANO7	45.5
1	ANXA3	104.75
1	ANXA7	2034.0
1	AP1B1	1317.75
1	AP1S3	1380.5
1	AP2A2	1193.0
1	AP3B2	80.0
1	AP4E1	848.0
1	AP4M1	180.5
1	AP5S1	520.75
1	AP5Z1	1027.0
1	APAF1	862.25
1	APBB1IP	1148.0
1	APCDD1	41.0
1	APEX2	583.75
1	APH1B	206.5
1	APOB	6.75
1	APOBEC2	17.75
1	APOBEC3D	1807.5
1	APOBEC3F	554.0
1	APOOL	1100.75
1	APPL1	1190.5
1	APPL2	685.0
1	AQP11	87.0
1	ARC	10.0
1	ARCN1	8912.75
1	ARF1	8407.5
1	ARF5	97.75
1	ARFGAP1	660.0
1	ARFGAP2	977.0
1	ARFGAP3	390.5
1	ARG2	215.25
1	ARGFXP2	49.5
1	ARHGAP11B	329.0
1	ARHGAP29	191.5
1	ARHGAP30	5227.75
1	ARHGAP32	330.75
1	ARHGAP44	73.0
1	ARHGEF25	5.5
1	ARHGEF34P	27.25
1	ARHGEF35	40.25
1	ARHGEF38	184.25
1	ARHGEF39	385.75
1	ARHGEF5	585.0
1	ARL10	1631.25
1	ARL11	124.5
1	ARL9	289.25
1	ARMCX1	33.0
1	ARPC2	8413.75
1	ARR3	40.0
1	ARSA	252.0
1	ARSD	557.0
1	ASAP3	56.25
1	ASB1	412.5
1	ASB11	85.0
1	ASB16	196.75
1	ASB18	166.75
1	ASCC3	3797.0
1	ASIC3	90.75
