CD4_ABC_H3K27ac_count_bins	Gene_Name	Mean_Gene_Expression
0	A1BG	666.0
0	A1CF	43.0
0	A2ML1	89.5
0	AAAS	2411.0
0	AACS	1231.25
0	AAGAB	429.0
0	AAK1	6141.0
0	AAMDC	628.75
0	AARS2	619.0
0	AASDH	83.75
0	AASS	800.5
0	ABAT	605.5
0	ABCA1	397.75
0	ABCA13	165.75
0	ABCA2	680.75
0	ABCA3	185.75
0	ABCA8	735.5
0	ABCB10	510.0
0	ABCB11	92.0
0	ABCB4	21.25
0	ABCB5	772.75
0	ABCB7	669.5
0	ABCB8	771.75
0	ABCB9	551.25
0	ABCC1	2251.75
0	ABCC13	10.25
0	ABCC2	151.25
0	ABCC4	617.5
0	ABCC6	301.0
0	ABCD2	209.75
0	ABCD3	1020.25
0	ABCF2	2708.5
0	ABCF3	919.0
0	ABCG1	1156.5
0	ABHD11-AS1	8.25
0	ABHD12	245.5
0	ABHD15	286.25
0	ABHD16A	590.0
0	ABHD16B	17.0
0	ABHD6	111.75
0	ABI1	3629.25
0	ABI3BP	64.75
0	ABL1	1031.25
0	ABLIM2	22.5
0	ABLIM3	1.5
0	ABR	2579.0
0	ABRA	46.25
0	ABRACL	181.25
0	ABTB1	351.5
0	ACAA1	573.75
0	ACAA2	1402.25
0	ACACB	1657.5
0	ACADL	24.25
0	ACADM	717.25
0	ACADVL	1629.25
0	ACAN	113.5
0	ACAP1	2491.75
0	ACAP2	3820.25
0	ACAP3	179.0
0	ACAT1	582.75
0	ACAT2	496.5
0	ACBD4	230.0
0	ACBD5	796.0
0	ACBD6	794.5
0	ACBD7	1137.5
0	ACD	778.25
0	ACE	147.75
0	ACER2	56.5
0	ACER3	440.0
0	ACIN1	5503.75
0	ACKR2	150.75
0	ACKR3	110.5
0	ACO1	449.5
0	ACOT11	1153.0
0	ACOT4	43.75
0	ACOT7	1279.25
0	ACOT9	1000.0
0	ACOX1	777.75
0	ACOX2	1.75
0	ACOX3	248.75
0	ACOXL	213.25
0	ACP6	331.75
0	ACRBP	27.75
0	ACRV1	44.5
0	ACSF2	67.0
0	ACSL1	851.5
0	ACSM3	78.0
0	ACSM6	12.25
0	ACSS1	653.25
0	ACSS2	283.25
0	ACSS3	47.25
0	ACTA1	6.25
0	ACTA2	260.5
0	ACTB	55244.25
0	ACTG1	7703.5
0	ACTG2	216.75
0	ACTL10	26.25
0	ACTL6A	1353.25
0	ACTN4	10785.25
0	ACTR1B	2087.25
0	ACVR1	552.5
0	ACVR1B	589.5
