CD4_ATAC_count_bins	Gene_Name	Mean_Gene_Expression
0	A1CF	43.0
0	A2ML1	89.5
0	ABCA8	735.5
0	ABCB11	92.0
0	ABCC2	151.25
0	ABCC9	981.75
0	ABCF1	7776.0
0	ABI3BP	64.75
0	ACMSD	9.75
0	ACSM1	2.75
0	ACVR2A	391.75
0	ADAM12	118.5
0	ADAM22	282.0
0	ADAM28	18.75
0	ADAMTS9	17.5
0	ADCY2	380.25
0	ADCYAP1R1	2.0
0	ADGRG5	227.25
0	ADGRL2	0.25
0	AGBL1	42.75
0	AGBL2	86.25
0	AGBL4	76.75
0	AGMO	187.5
0	AKAP10	722.75
0	AKAP3	23.5
0	ALCAM	527.5
0	ALDH1A2	8.5
0	ALDH1L2	159.5
0	ALDH7A1	1767.75
0	ALDOB	8.25
0	ALDOC	287.25
0	ALG1L2	21.5
0	ALKBH6	1107.0
0	AMER1	101.5
0	AMER2	55.0
0	AMER3	48.0
0	AMFR	989.5
0	AMOT	74.5
0	AMPH	28.75
0	ANGPT2	554.75
0	ANGPTL1	22.75
0	ANK2	0.75
0	ANKAR	83.0
0	ANKFN1	2.75
0	ANKRD26	285.0
0	ANKRD40	2902.75
0	ANKS1B	100.25
0	ANO2	2.75
0	ANO9	580.5
0	AOC1	13.75
0	AP4E1	848.0
0	APBB2	221.75
0	APOB	6.75
0	APOD	13.25
0	ARF4	706.75
0	ARF5	97.75
0	ARFGAP2	977.0
0	ARFGAP3	390.5
0	ARHGAP12	420.0
0	ARHGAP24	1.0
0	ARHGAP28	860.75
0	ARHGAP4	924.75
0	ARHGEF25	5.5
0	ARHGEF38	184.25
0	ARHGEF40	21.75
0	ARL10	1631.25
0	ARMC4	9.5
0	ASCC3	3797.0
0	ASGR2	5.25
0	ASPA	309.75
0	ASTN2	5593.5
0	ASXL3	3.25
0	ATF2	4241.5
0	ATF5	656.0
0	ATP10D	214.0
0	ATP13A2	706.75
0	ATP13A4	35.75
0	ATP1A4	297.0
0	ATPAF1	597.75
0	ATR	1245.75
0	AVL9	1850.0
0	B4GALT6	68.25
0	BAAT	2.75
0	BACE1	159.75
0	BBS7	247.5
0	BCAP31	567.0
0	BMP2K	684.75
0	BMPR1B	8.25
0	BNIPL	187.0
0	BRCA1	876.75
0	BTBD3	172.75
0	BTBD7	1515.5
0	BTBD9	1456.0
0	C11orf58	2277.25
0	C11orf80	188.5
0	C12orf65	2381.75
0	C17orf50	4.5
0	C19orf18	3.25
0	C1orf116	3.25
0	C1orf52	521.0
0	C1QTNF9	30.5
0	C1S	67.25
0	C20orf96	30.75
0	C2orf66	15.75
0	C3orf49	35.5
0	C7orf31	100.25
0	C8orf34	632.0
0	C9orf131	142.0
0	CA1	43.75
0	CA3	0.25
0	CA6	455.25
0	CAB39L	48.5
0	CACNA1A	1999.75
0	CACNA1D	326.0
0	CACNB2	419.75
0	CACNB4	321.75
0	CADPS	319.0
0	CALN1	79.75
0	CAMTA1	256.75
0	CAPN8	6.0
0	CARD14	573.0
0	CBFB	8301.0
0	CC2D1B	1667.0
0	CCDC113	125.75
0	CCDC120	419.0
0	CCDC150	458.25
0	CCDC171	284.5
0	CCDC172	3.25
0	CCDC180	857.0
0	CCDC28A	140.75
0	CCDC33	0.25
0	CCL3L3	380.75
0	CCNB3	20.25
0	CCNH	884.25
0	CCNJ	422.25
0	CCT3	4821.5
0	CD109	894.75
0	CD160	214.0
0	CD163	303.25
0	CD34	166.25
0	CD59	614.0
0	CD79B	32.5
0	CD80	48.5
0	CD86	16.25
0	CD99	1515.25
0	CDC25C	5.25
0	CDC27	1075.25
0	CDC42BPA	50.0
0	CDH10	23.75
0	CDH13	71.75
0	CDH18	207.25
0	CDH19	1.0
0	CDH4	7.0
0	CDH6	103.75
0	CDH9	26.0
0	CDK1	104.75
0	CDON	313.5
0	CENPC	1184.75
0	CENPF	327.5
0	CENPT	666.0
0	CENPV	571.75
0	CFH	35.75
0	CGA	7.25
0	CGRRF1	102.25
0	CHCHD2	1483.0
0	CHKA	263.0
0	CHMP2A	1921.5
0	CHST11	2341.0
0	CHST9	41.0
0	CIART	195.5
0	CITED4	35.25
0	CLCN2	451.0
0	CLEC4C	26.25
0	CLIP2	197.5
0	CLRN1	3.75
0	CNOT10	811.25
0	CNOT11	1210.75
0	CNOT6	1142.5
0	CNTN1	37.0
0	COL3A1	0.5
0	COL4A2	30.0
0	COL6A6	11.0
0	COLEC12	1107.0
0	COMMD2	793.0
0	COPS8	480.75
0	CPA4	182.25
0	CPB1	17.5
0	CPEB1	8.25
0	CPEB3	210.0
0	CPS1	201.75
0	CPT1B	337.5
0	CRB1	19.75
0	CREB3L1	35.75
0	CRKL	6310.0
0	CRTC2	4050.25
0	CSMD3	236.75
0	CSNK1G1	1719.5
0	CSNK2A1	5558.75
0	CSNK2A3	5.0
0	CTNNA1	452.75
0	CTNNA2	33.0
0	CTNND2	7.25
0	CTSK	145.75
0	CTSS	1591.25
0	CTTNBP2NL	123.75
0	CUL4B	1957.5
0	CYB5RL	1107.75
0	CYFIP1	246.5
0	CYP24A1	3.75
0	CYP2C19	97.5
0	CYP2C8	10.0
0	CYP2C9	42.5
0	CYP3A43	565.5
0	CYP4V2	2084.0
0	CYP7B1	1.25
0	DAP3	1382.0
0	DAW1	75.75
0	DCLK2	16.5
0	DCP1B	796.75
0	DCTN3	491.0
0	DDHD1	1893.75
0	DDOST	2046.75
0	DDR2	53.75
0	DDX60	195.25
0	DDX60L	982.75
0	DENND1A	450.5
0	DENND2A	342.75
0	DENND5A	937.5
0	DEPDC4	322.0
0	DGKB	184.5
0	DGKE	1844.75
0	DGKH	1825.0
0	DHRS11	221.5
0	DHX29	234.25
0	DICER1	9749.0
0	DIO2	37.75
0	DIRAS2	388.5
0	DLC1	115.75
0	DLG5	155.0
0	DLGAP1	46.75
0	DNAH14	361.0
0	DNAH5	1.0
0	DNAJC11	1574.5
0	DNAJC19	2170.5
0	DNAJC21	1596.25
0	DNAJC9	735.0
0	DPP10	25.0
0	DPY19L2	71.0
0	DSC1	64.0
0	DSG3	212.75
0	DTNA	168.75
0	DTX3	284.75
0	DUSP28	751.5
0	DYNC1I1	22.75
0	DYNC2H1	40.0
0	EDEM3	1530.5
0	EDN1	7.0
0	EEF1AKMT1	64.75
0	EEF1D	6626.25
0	EFCAB1	3.5
0	EFNB1	211.75
0	EFR3B	116.75
0	EHBP1	947.0
0	EIF4EBP2	3062.25
0	EIF5A2	631.75
0	ELANE	2.25
0	ELL3	37.0
0	ENTPD3	10.5
0	EPHB6	213.0
0	ERBB3	88.75
0	ERC2	4.25
0	ESR2	561.0
0	ETV1	0.5
0	EXT2	562.25
0	EYA1	170.5
0	EYS	939.25
0	FABP7	37.25
0	FAH	298.75
0	FAM118B	627.75
0	FAM120A	5831.0
0	FAM135B	16.0
0	FAM166B	4.75
0	FAM169A	277.5
0	FAM189A2	2.25
0	FAM53A	14.5
0	FAM78B	7.25
0	FAM81A	8.0
0	FAM98A	1608.0
0	FANCM	416.75
0	FANK1	57.0
0	FAT1	18.0
0	FBXO3	730.75
0	FBXO46	395.25
0	FCER1A	36.5
0	FCRL1	142.75
0	FGF14	1.25
0	FGFR4	25.5
0	FHL2	554.0
0	FKTN	518.0
0	FLVCR2	121.75
0	FMO3	38.75
0	FN1	494.75
0	FNBP4	2907.0
0	FOXP2	33.5
0	FRK	2703.25
0	FRMD5	223.75
0	FRMPD1	95.5
0	FRMPD2	30.5
0	FRY	951.25
0	FSCN3	15.25
0	FUCA2	184.0
0	FXYD3	3.0
0	FXYD6	1.0
0	GABRA2	2.0
0	GABRB3	341.25
0	GABRP	624.0
0	GALK1	82.75
0	GALNT13	7.5
0	GALR2	73.75
0	GANC	809.5
0	GAREM1	24.25
0	GAS7	107.25
0	GBE1	292.0
0	GCFC2	545.0
0	GCSAML	96.75
0	GDAP1	605.0
0	GDNF	27.5
0	GDPD4	26.25
0	GGH	67.5
0	GHITM	1735.0
0	GLDN	11.75
0	GLI1	123.5
0	GLRA2	18.75
0	GLRA3	194.0
0	GLYAT	8.0
0	GLYATL2	19.25
0	GNRH1	22.0
0	GOLIM4	206.25
0	GP2	237.75
0	GPATCH2L	2857.25
0	GPR151	13.0
0	GPR160	160.5
0	GPR87	23.25
0	GRB7	2.25
0	GREB1L	116.5
0	GRHL3	2.75
0	GRIA1	0.75
0	GRIK2	416.0
0	GRIN2B	13.0
0	GSTM5	7.0
0	GTF2H4	90.0
0	GTF3C1	1416.25
0	HAUS4	418.0
0	HDAC8	863.0
0	HECTD2	95.75
0	HECW2	216.0
0	HELZ	3678.5
0	HEPHL1	1.5
0	HHLA1	1012.0
0	HHLA2	497.0
0	HIBCH	370.0
0	HK3	17.0
0	HMGB3	163.5
0	HMGCS2	3.25
0	HMGN1	2618.75
0	HNMT	86.25
0	HOMER1	443.25
0	HOOK3	5126.75
0	HOPX	408.75
0	HP1BP3	6935.75
0	HPGD	131.25
0	HPGDS	17.25
0	HS1BP3	136.25
0	HSF5	231.5
0	HSPH1	2324.0
0	HTR1F	2.5
0	HTR2A	16.0
0	HTR2B	179.25
0	HUWE1	21110.0
0	HYAL4	141.75
0	HYDIN	40.5
0	HYOU1	4651.5
0	IBA57	1215.25
0	ICAM2	754.5
0	IDH1	158.5
0	IDI2	33.75
0	IDO2	333.75
0	IFT81	477.5
0	IGFBP3	21.5
0	IGFL2	40.0
0	IGSF3	164.0
0	IL18BP	1701.0
0	IL1RAP	641.0
0	IL1RN	66.0
0	IL7	15.25
0	ILKAP	1032.5
0	INAFM2	118.5
0	INIP	843.75
0	INTS9	550.0
0	INTU	1613.25
0	IPO5	7057.75
0	ISG15	77.75
0	ISOC1	429.0
0	ITGA3	544.25
0	ITGAM	206.5
0	JADE2	1986.5
0	KATNA1	440.0
0	KAZN	130.5
0	KCNAB1	101.5
0	KCNH5	9.5
0	KCNJ13	184.75
0	KCNJ6	174.0
0	KCNMA1	35.25
0	KCNQ3	66.0
0	KCNRG	248.5
0	KCP	150.75
0	KCTD1	121.5
0	KCTD4	43.75
0	KIAA0100	5130.0
0	KIAA0586	759.0
0	KIAA1191	1996.0
0	KIAA1328	16559.5
0	KIAA1958	695.75
0	KIF24	175.25
0	KIF3C	551.5
0	KIF6	377.75
0	KIFC3	106.25
0	KIR3DL1	1.5
0	KIR3DX1	807.75
0	KLHL13	2.0
0	KLHL2	786.5
0	KLHL21	2300.75
0	KMT2C	7443.75
0	KPNA1	1435.25
0	L1CAM	8.5
0	L1TD1	58.75
0	L3MBTL4	105.75
0	LARP4B	4177.5
0	LDB2	1.75
0	LDHAL6A	166.0
0	LDHD	9.25
0	LGALS12	1.0
0	LGSN	135.25
0	LIFR	16.75
0	LIMCH1	1.5
0	LIN7A	5.25
0	LMAN1	2289.0
0	LMO3	1.5
0	LMOD2	71.5
0	LPAR3	60.25
0	LPAR5	322.5
0	LPP	4482.75
0	LRRC17	2.0
0	LRRC18	9.5
0	LRRC20	75.75
0	LRRC39	36.5
0	LRRC6	22.25
0	LRRC7	11.75
0	LRRIQ1	126.25
0	LRRK2	12.75
0	LRRTM2	43.25
0	LRRTM3	5.0
0	LSP1	742.5
0	LYST	2486.5
0	MAB21L1	3.75
0	MAGI1	24.0
0	MAGI2	550.75
0	MANEA	330.75
0	MAP1A	136.75
0	MAP2	6.25
0	MAP3K13	1023.75
0	MAPK10	1251.25
0	MAPK1IP1L	7945.75
0	MAPKAP1	4175.5
0	MAPKAPK2	1988.75
0	MARCKS	8.75
0	MARK3	2303.25
0	MARVELD2	605.5
0	MAST2	510.0
0	MATN2	132.0
0	MBNL3	530.0
0	MCC	178.75
0	MCTP1	107.5
0	MCTP2	555.75
0	MDN1	6823.0
0	MECOM	193.75
0	MED10	975.75
0	MED13	20846.5
0	MED14	2382.0
0	MEFV	383.25
0	MEI1	422.0
0	MEIOB	2.0
0	METAP1D	109.25
0	METAP2	2673.75
0	METTL21C	1.5
0	METTL2B	2637.25
0	MEX3A	21.0
0	MFSD1	435.5
0	MIA	0.75
0	MICU1	471.75
0	MITF	50.5
0	MME	55.0
0	MMP13	7.5
0	MMS22L	2272.75
0	MNAT1	271.75
0	MOBP	240.75
0	MOSPD1	88.75
0	MPO	1.25
0	MPP4	209.25
0	MRPL27	245.5
0	MRPS18A	190.0
0	MRPS25	954.25
0	MRPS30	2283.5
0	MRPS5	2184.25
0	MS4A2	167.5
0	MS4A3	3.0
0	MS4A4A	8.75
0	MS4A4E	30.0
0	MS4A5	14.25
0	MSANTD3	332.25
0	MTHFD2L	535.75
0	MTMR2	1214.75
0	MTRNR2L1	1079828.25
0	MTRNR2L11	211008.75
0	MTRNR2L8	1302509.25
0	MUC15	27.5
0	MUC16	37.5
0	MUC3A	17.25
0	MYEF2	807.25
0	MYH3	373.75
0	MYH7B	521.0
0	MYLK	342.5
0	MYO1C	393.0
0	MYO1E	64.25
0	MYOT	22.0
0	MYPN	89.25
0	NAA30	1212.0
0	NAAA	940.5
0	NACA2	1.25
0	NADK2	1376.5
0	NAPA	881.75
0	NAV3	500.0
0	NCAM1	37.5
0	NCKAP1L	5968.75
0	NCL	71791.5
0	NDFIP1	3342.25
0	NDST3	93.5
0	NDST4	11.75
0	NDUFA1	241.0
0	NDUFA4	838.75
0	NDUFB2	1291.5
0	NEBL	19.0
0	NEK11	59.5
0	NELFCD	1442.75
0	NF2	1878.5
0	NFKBIE	166.75
0	NHSL2	833.0
0	NMT2	1883.5
0	NOB1	1515.5
0	NOX4	93.75
0	NPAS2	1788.25
0	NPAS3	46.0
0	NPM1	62835.25
0	NPTN	658.0
0	NPTX2	1.5
0	NPW	4.25
0	NQO1	278.0
0	NREP	561.0
0	NRG1	3.5
0	NRXN3	127.25
0	NSMCE3	559.25
0	NSUN4	1426.5
0	NUDT15	873.75
0	NUDT16	222.0
0	NUP153	4363.0
0	NYAP1	3.25
0	OLFM2	108.5
0	OLFML1	130.5
0	OR10A4	2.5
0	OR10G2	5.75
0	OR10G4	101.5
0	OR10J1	92.5
0	OR14J1	1588.0
0	OR1A1	667.25
0	OR1C1	8.5
0	OR1J2	2.5
0	OR1L8	14.25
0	OR1Q1	4.5
0	OR2A25	114.5
0	OR2A5	253.25
0	OR2AG1	73.0
0	OR2AP1	102.75
0	OR2D2	4.5
0	OR2L13	2.0
0	OR2L2	428.0
0	OR2L5	41.75
0	OR2V1	21.0
0	OR3A3	82.75
0	OR4E2	22.5
0	OR4K2	11.25
0	OR4P4	63.25
0	OR4Q3	21.25
0	OR51B5	45.25
0	OR51D1	18.5
0	OR51E2	89.0
0	OR51L1	45.5
0	OR52I1	118.75
0	OR52I2	6.25
0	OR56A4	969.5
0	OR5AS1	1647.25
0	OR5AU1	363.0
0	OR5K2	1.5
0	OR5T2	3.75
0	OR6C4	109.75
0	OR6C75	2324.25
0	OR7A5	11.5
0	OR8D1	42.25
0	OR8D4	38.25
0	OR8G1	10.5
0	OR8J3	47.75
0	P2RY13	10.0
0	P4HA2	224.5
0	PACRG	59.25
0	PALMD	50.75
0	PAPPA2	0.25
0	PAQR3	300.5
0	PARD3	13.25
