CD4_enhancer_counts_bins	Gene_Name	Mean_Gene_Expression
1	AARS2	619.0
1	AARSD1	568.25
1	ABCA1	397.75
1	ABCA8	735.5
1	ABCC9	981.75
1	ABL1	1031.25
1	ACBD6	794.5
1	ACIN1	5503.75
1	ACP6	331.75
1	ACSS1	653.25
1	ACSS2	283.25
1	ACVR2A	391.75
1	ADAM12	118.5
1	ADAM22	282.0
1	ADAMTS17	399.5
1	ADAMTS9	17.5
1	ADCY2	380.25
1	ADCYAP1R1	2.0
1	ADGRG5	227.25
1	ADGRL2	0.25
1	ADHFE1	156.0
1	ADI1	1219.0
1	AEN	944.75
1	AGBL2	86.25
1	AGBL4	76.75
1	AGMO	187.5
1	AKAP12	418.5
1	AKAP3	23.5
1	AKIRIN1	1812.0
1	ALCAM	527.5
1	ALDH1A2	8.5
1	ALDH1L2	159.5
1	ALDOC	287.25
1	ALG1L2	21.5
1	ALS2	571.0
1	AMER1	101.5
1	AMER2	55.0
1	AMER3	48.0
1	AMFR	989.5
1	AMOT	74.5
1	AMPH	28.75
1	ANAPC5	3688.75
1	ANKH	5278.0
1	ANKRD40	2902.75
1	ANO9	580.5
1	AP4E1	848.0
1	APAF1	862.25
1	APOB	6.75
1	APOD	13.25
1	AQP10	3.75
1	AQP11	87.0
1	ARF5	97.75
1	ARFGAP2	977.0
1	ARFGAP3	390.5
1	ARHGAP12	420.0
1	ARHGAP28	860.75
1	ARHGAP4	924.75
1	ARHGEF12	2204.5
1	ARHGEF25	5.5
1	ARHGEF38	184.25
1	ARHGEF40	21.75
1	ARID2	1975.25
1	ARL10	1631.25
1	ARL9	289.25
1	ARMCX2	31.25
1	ASAP3	56.25
1	ASCC3	3797.0
1	ASGR2	5.25
1	ASIC1	90.25
1	ASNS	1581.5
1	ASTN2	5593.5
1	ATF5	656.0
1	ATF6	1972.5
1	ATL1	28.75
1	ATP13A2	706.75
1	ATP13A4	35.75
1	ATP2A2	6482.5
1	ATP6V0E2	471.25
1	ATPAF1	597.75
1	ATR	1245.75
1	BABAM1	1115.5
1	BACE1	159.75
1	BBS7	247.5
1	BCR	1307.0
1	BEAN1	133.5
1	BMP2K	684.75
1	BMPR1B	8.25
1	BMX	0.75
1	BNIPL	187.0
1	BTBD3	172.75
1	BTBD7	1515.5
1	BTBD9	1456.0
1	C10orf67	40.75
1	C10orf88	311.75
1	C11orf80	188.5
1	C16orf70	1113.75
1	C17orf50	4.5
1	C19orf18	3.25
1	C1orf216	276.75
1	C1orf52	521.0
1	C1QTNF9	30.5
1	C20orf96	30.75
1	C2CD4D	29.25
1	C2orf66	15.75
1	C4orf17	8.0
1	C6orf47	423.0
1	C7orf26	818.0
1	C8orf34	632.0
1	C9orf24	34.5
1	CA1	43.75
1	CA3	0.25
1	CA6	455.25
1	CAB39	4209.5
1	CACNB2	419.75
1	CACNB4	321.75
1	CALCOCO2	2639.75
1	CAMTA1	256.75
1	CAPS	744.5
1	CASC4	3505.25
1	CAT	396.0
1	CBL	5055.75
1	CC2D1B	1667.0
1	CCDC113	125.75
1	CCDC117	1924.25
1	CCDC120	419.0
1	CCDC180	857.0
1	CCDC186	1858.75
1	CCDC33	0.25
1	CCDC85C	1027.75
1	CCNB3	20.25
1	CCNJ	422.25
1	CCR10	37.75
1	CCT3	4821.5
1	CD14	23.75
1	CD180	69.5
1	CD59	614.0
1	CD68	940.0
1	CD80	48.5
1	CD86	16.25
1	CDC23	814.0
1	CDC25C	5.25
1	CDC27	1075.25
1	CDC37L1	253.5
1	CDC42BPA	50.0
1	CDC42SE1	5990.5
1	CDH19	1.0
1	CDH4	7.0
1	CDH6	103.75
1	CDH9	26.0
1	CDHR1	13.0
1	CDK3	52.5
1	CDK5	101.0
1	CDON	313.5
1	CEBPG	1099.25
1	CELSR2	152.0
1	CEMIP	226.0
1	CEMP1	19.0
1	CENPC	1184.75
1	CENPT	666.0
1	CENPV	571.75
1	CEP126	503.0
1	CES3	226.0
1	CFAP43	1.75
1	CFP	502.0
1	CGA	7.25
1	CHAMP1	499.25
1	CHCHD2	1483.0
1	CHCHD3	592.75
1	CHDH	194.75
1	CHKA	263.0
1	CHMP2A	1921.5
1	CHMP7	1605.5
1	CHST9	41.0
1	CIART	195.5
1	CIB2	21.5
1	CIRBP	3274.0
1	CITED4	35.25
1	CLCN2	451.0
1	CLIP2	197.5
1	CLSTN1	1937.5
1	CLSTN3	1036.0
1	CLUL1	58.5
1	CMTM3	294.5
1	CNIH1	241.0
1	CNN2	7685.0
1	CNOT11	1210.75
1	CNOT6	1142.5
1	CNTD2	17.5
1	COASY	1004.25
1	COL23A1	17.25
1	COL3A1	0.5
1	COL4A2	30.0
1	COL9A1	219.5
1	COLEC12	1107.0
1	COLGALT2	74.75
1	COPG2	485.25
1	CPD	1942.75
1	CPEB1	8.25
1	CPEB3	210.0
1	CPT1B	337.5
1	CR2	25.5
1	CREB3L1	35.75
1	CRKL	6310.0
1	CSMD3	236.75
1	CSNK1A1	7163.5
1	CSNK1G1	1719.5
1	CSNK2A1	5558.75
1	CSNK2A3	5.0
1	CTDSP1	645.5
1	CTNND2	7.25
1	CTTNBP2NL	123.75
1	CWF19L2	1166.75
1	CYB5R1	359.5
1	CYP17A1	190.5
1	CYP24A1	3.75
1	CYP2C19	97.5
1	CYP3A43	565.5
1	CYP3A5	1980.25
1	DAP3	1382.0
1	DAW1	75.75
1	DAXX	1957.25
1	DBF4B	628.75
1	DBN1	180.75
1	DCLK2	16.5
1	DCP1B	796.75
1	DCT	6.0
1	DCTD	648.0
1	DCTN3	491.0
1	DDOST	2046.75
1	DDX4	7.0
1	DDX56	1706.0
1	DENND1A	450.5
1	DGKD	2448.0
1	DHDDS	1136.75
1	DHRS11	221.5
1	DHRS4L2	255.25
1	DHX15	4913.75
1	DHX29	234.25
1	DIO2	37.75
1	DIRAS2	388.5
1	DLG5	155.0
1	DNAJC9	735.0
1	DNMT3B	39.75
1	DPM1	169.0
1	DPY19L2	71.0
1	DPYD	1425.75
1	DRG1	1079.5
1	DUS3L	513.0
1	DUSP28	751.5
1	DYM	1243.75
1	DYNC1I1	22.75
1	DYNC2H1	40.0
1	DYNC2LI1	563.25
1	EBP	230.75
1	EDAR	198.75
1	EEF1AKMT1	64.75
1	EEF1D	6626.25
1	EEF2	32839.25
1	EFCAB1	3.5
1	EFNB1	211.75
1	EIF2D	1244.0
1	EIF3A	18364.25
1	EIF4EBP2	3062.25
1	EIF5A2	631.75
1	ELANE	2.25
1	ELAVL1	1833.75
1	ENTPD3	10.5
1	EPHB6	213.0
1	ERCC3	750.75
1	ERO1A	4817.0
1	ETV4	40.25
1	EXT2	562.25
1	EZH1	1446.75
1	FAH	298.75
1	FAM107A	1.0
1	FAM166A	132.75
1	FAM166B	4.75
1	FAM180B	203.0
1	FAM189B	1272.5
1	FAM234B	411.75
1	FAM78B	7.25
1	FAM81A	8.0
1	FAM98A	1608.0
1	FANCA	1160.75
1	FAR2	229.75
1	FBF1	140.5
1	FBLIM1	1021.0
1	FBXO46	395.25
1	FCGR3A	13.75
1	FDPS	1369.5
1	FFAR2	210.25
1	FGF14	1.25
1	FGF18	8.25
1	FGFR4	25.5
1	FHL2	554.0
1	FILIP1L	576.25
1	FKBP8	531.0
1	FKTN	518.0
1	FLCN	1565.25
1	FLOT1	1630.25
1	FLVCR2	121.75
