CD4_H3K27ac_count_bins	Gene_Name	Mean_Gene_Expression
0	A1CF	43.0
0	A2ML1	89.5
0	AAAS	2411.0
0	AAGAB	429.0
0	AAK1	6141.0
0	AAMDC	628.75
0	AARS2	619.0
0	AASDH	83.75
0	ABCA1	397.75
0	ABCA10	36.75
0	ABCA13	165.75
0	ABCA2	680.75
0	ABCA3	185.75
0	ABCA8	735.5
0	ABCB11	92.0
0	ABCB7	669.5
0	ABCC1	2251.75
0	ABCC11	55.5
0	ABCC2	151.25
0	ABCC9	981.75
0	ABCD2	209.75
0	ABCF1	7776.0
0	ABCF3	919.0
0	ABCG1	1156.5
0	ABCG4	2.5
0	ABHD12	245.5
0	ABHD16A	590.0
0	ABHD4	281.25
0	ABHD6	111.75
0	ABI1	3629.25
0	ABI3BP	64.75
0	ABL1	1031.25
0	ABL2	1947.25
0	ABLIM3	1.5
0	ABR	2579.0
0	ABRA	46.25
0	ACAA1	573.75
0	ACAA2	1402.25
0	ACACB	1657.5
0	ACADM	717.25
0	ACADVL	1629.25
0	ACAP1	2491.75
0	ACAP2	3820.25
0	ACAT1	582.75
0	ACAT2	496.5
0	ACBD4	230.0
0	ACBD5	796.0
0	ACBD6	794.5
0	ACD	778.25
0	ACER2	56.5
0	ACIN1	5503.75
0	ACKR2	150.75
0	ACKR3	110.5
0	ACMSD	9.75
0	ACOT2	229.0
0	ACOT7	1279.25
0	ACOT9	1000.0
0	ACOX1	777.75
0	ACOX2	1.75
0	ACP6	331.75
0	ACSBG1	448.75
0	ACSM1	2.75
0	ACSM3	78.0
0	ACSM6	12.25
0	ACSS1	653.25
0	ACSS2	283.25
0	ACTA2	260.5
0	ACTB	55244.25
0	ACTL6A	1353.25
0	ACTR1B	2087.25
0	ACVR1	552.5
0	ACVR1B	589.5
0	ACVR2A	391.75
0	ADAM12	118.5
0	ADAM17	1820.5
0	ADAM22	282.0
0	ADAM28	18.75
0	ADAMTS17	399.5
0	ADAMTS8	3.75
0	ADAMTS9	17.5
0	ADAMTSL2	32.0
0	ADARB1	1948.75
0	ADCY10	2.75
0	ADCY2	380.25
0	ADCY9	571.0
0	ADCYAP1R1	2.0
0	ADD1	3684.25
0	ADD3	8211.5
0	ADGRA3	814.75
0	ADGRB1	15.0
0	ADGRG1	331.25
0	ADGRG5	227.25
0	ADGRL2	0.25
0	ADH5	767.0
0	ADHFE1	156.0
0	ADIPOQ	164.5
0	ADIPOR2	544.0
0	ADNP	1315.25
0	ADPGK	2523.25
0	ADPRM	117.25
0	ADRB2	60.5
0	ADSL	1223.0
0	ADTRP	442.0
0	AEN	944.75
0	AFAP1	476.75
0	AFAP1L1	11.0
0	AFF1	4759.25
0	AFF3	1211.75
0	AFF4	3690.75
0	AFG3L2	756.5
0	AFTPH	2607.25
0	AGA	243.75
0	AGAP2	1748.75
0	AGAP3	384.0
0	AGBL1	42.75
0	AGBL2	86.25
0	AGBL4	76.75
0	AGBL5	388.25
0	AGFG1	5271.0
0	AGMO	187.5
0	AGO3	3415.25
0	AGPAT3	3333.5
0	AGPAT4	373.75
0	AHCY	743.75
0	AHCYL2	844.5
0	AHNAK	18251.25
0	AHNAK2	3.0
0	AHR	2970.75
0	AHSA1	2324.5
0	AIF1	268.75
0	AIFM1	1066.5
0	AIM2	551.5
0	AIMP1	749.75
0	AIP	489.25
0	AIPL1	290.0
0	AK1	76.25
0	AK5	665.25
0	AK9	622.0
0	AKAP10	722.75
0	AKAP12	418.5
0	AKAP13	6729.75
0	AKAP3	23.5
0	AKAP7	524.25
0	AKAP8	2540.75
0	AKAP8L	602.5
0	AKIRIN1	1812.0
0	AKNA	7833.5
0	AKR1C3	6.75
0	AKT1	1115.25
0	AKT1S1	217.0
0	ALCAM	527.5
0	ALDH1A2	8.5
0	ALDH1L2	159.5
0	ALDH3A1	5.75
0	ALDH3A2	763.0
0	ALDH4A1	62.75
0	ALDH7A1	1767.75
0	ALDH8A1	105.75
0	ALDOB	8.25
0	ALDOC	287.25
0	ALG1	545.5
0	ALG10	346.5
0	ALG10B	713.75
0	ALG14	787.75
0	ALG1L2	21.5
0	ALG5	201.25
0	ALG9	643.25
0	ALKBH1	183.0
0	ALKBH2	550.0
0	ALKBH3	177.5
0	ALKBH6	1107.0
0	ALOX15B	0.25
0	ALPK1	686.5
0	ALPK2	66.5
0	ALS2	571.0
0	AMBRA1	1016.0
0	AMD1	3405.75
0	AMER1	101.5
0	AMER2	55.0
0	AMER3	48.0
0	AMFR	989.5
0	AMMECR1	513.5
0	AMN1	409.5
0	AMOT	74.5
0	AMPD3	621.0
0	AMPH	28.75
0	AMZ2	1129.75
0	ANAPC1	4128.0
0	ANAPC15	1343.0
0	ANAPC5	3688.75
0	ANGPT2	554.75
0	ANGPTL1	22.75
0	ANGPTL5	1.0
0	ANK2	0.75
0	ANK3	2788.25
0	ANKAR	83.0
0	ANKDD1A	898.5
0	ANKEF1	122.5
0	ANKFN1	2.75
0	ANKHD1	3823.5
0	ANKRD10	1164.5
0	ANKRD11	11882.0
0	ANKRD23	71.0
0	ANKRD24	30.5
0	ANKRD26	285.0
0	ANKRD36B	2665.5
0	ANKRD39	464.0
0	ANKRD40	2902.75
0	ANKRD46	555.5
0	ANKRD55	335.5
0	ANKRD6	198.0
0	ANKS1A	1449.75
0	ANKS1B	100.25
0	ANKS4B	401.5
0	ANLN	63.75
0	ANO10	210.25
0	ANO2	2.75
0	ANO9	580.5
0	ANP32A	15270.5
0	ANP32E	14317.25
0	ANTXR2	965.25
0	ANXA2	1739.5
0	AOAH	274.75
0	AOC1	13.75
0	AOC2	61.25
0	AP001258.1	4.0
0	AP1G2	4304.5
0	AP1M1	2087.0
0	AP1M2	4.0
0	AP2M1	1775.75
0	AP3B1	1940.5
0	AP4B1	956.5
0	AP4E1	848.0
0	APAF1	862.25
0	APBA2	802.75
0	APBB1	703.5
0	APBB2	221.75
0	APC	900.0
0	APEH	1305.5
0	APEX1	7698.75
0	APH1A	825.25
0	API5	6112.0
0	APLN	2.5
0	APMAP	1070.0
0	APOB	6.75
0	APOBEC3B	25.0
0	APOBEC3H	15.0
0	APOD	13.25
0	APOE	184.25
0	APOH	10.5
0	APOL3	1834.25
0	APOL4	496.0
0	APOL6	2822.25
0	APOM	39.5
0	AQP10	3.75
0	AQP11	87.0
0	AQP6	141.75
0	ARAF	1435.25
0	ARAP2	1499.0
0	ARAP3	60.75
0	AREG	30.75
0	ARF3	2554.5
0	ARF4	706.75
0	ARF5	97.75
0	ARF6	3211.25
0	ARFGAP2	977.0
0	ARFGAP3	390.5
0	ARFIP1	324.5
0	ARG1	126.5
0	ARHGAP10	275.75
0	ARHGAP12	420.0
0	ARHGAP15	1290.5
0	ARHGAP17	1468.75
0	ARHGAP18	131.75
0	ARHGAP24	1.0
0	ARHGAP26	1518.0
0	ARHGAP27	1379.0
0	ARHGAP28	860.75
0	ARHGAP35	1478.0
0	ARHGAP4	924.75
0	ARHGEF10	689.5
0	ARHGEF11	374.25
0	ARHGEF12	2204.5
0	ARHGEF2	2474.5
0	ARHGEF25	5.5
0	ARHGEF3	5602.75
0	ARHGEF37	9.5
0	ARHGEF38	184.25
0	ARHGEF4	180.5
0	ARHGEF40	21.75
0	ARHGEF6	4269.75
0	ARHGEF7	1922.25
0	ARHGEF9	724.0
0	ARID2	1975.25
0	ARID3B	1268.75
0	ARID5A	782.5
0	ARL10	1631.25
0	ARL14EP	1008.5
0	ARL2BP	449.5
0	ARL4D	16.0
0	ARL5A	957.0
0	ARL6	115.25
0	ARL6IP5	2069.0
0	ARL9	289.25
0	ARMC10	2719.75
0	ARMC12	5.25
0	ARMC2	51.25
0	ARMC4	9.5
0	ARMC6	281.25
0	ARMC8	1907.0
0	ARMCX2	31.25
0	ARMCX5	187.75
0	ARPC3	581.25
0	ARPC4	6056.0
0	ARRB2	3380.0
0	ARRDC2	606.75
0	ARRDC3	1620.0
0	ARSG	1103.25
0	ART3	491.25
0	ART4	120.5
0	ASAP1	5155.5
0	ASAP3	56.25
0	ASB15	14.5
0	ASB2	135.25
0	ASCC3	3797.0
0	ASF1A	1142.5
0	ASGR1	92.25
0	ASGR2	5.25
0	ASIC1	90.25
0	ASNS	1581.5
0	ASPA	309.75
0	ASPH	1034.25
0	ASPM	101.5
0	ASTN2	5593.5
0	ASXL3	3.25
0	ATAD1	1328.5
0	ATAD2B	1206.5
0	ATF2	4241.5
0	ATF4	4483.0
0	ATF5	656.0
0	ATF6	1972.5
0	ATF7IP2	729.5
0	ATG101	229.25
0	ATG16L1	1234.75
0	ATG4C	100.0
0	ATG4D	342.25
0	ATG5	291.0
0	ATG7	1251.0
0	ATIC	2925.75
0	ATL1	28.75
0	ATMIN	2029.75
0	ATN1	3135.5
0	ATOX1	331.5
0	ATP10A	1002.75
0	ATP10D	214.0
0	ATP13A2	706.75
0	ATP13A3	4404.5
0	ATP13A4	35.75
0	ATP1A1	35459.75
0	ATP1A4	297.0
0	ATP23	162.25
0	ATP2A1	47.5
0	ATP2A2	6482.5
0	ATP2B3	0.25
0	ATP2C1	955.5
0	ATP6V0D2	119.0
0	ATP6V0E1	1709.75
0	ATP6V0E2	471.25
0	ATP6V1B1	3.75
0	ATP6V1G1	386.75
0	ATPAF1	597.75
0	ATR	1245.75
0	ATRIP	281.0
0	ATRX	2249.5
0	ATXN7L3B	3132.5
0	AUH	267.25
0	AVIL	267.75
0	AVL9	1850.0
0	AXIN2	358.75
0	AZIN2	136.5
0	B3GALNT1	96.0
0	B3GALNT2	442.0
0	B3GALT2	136.0
0	B3GNT5	2199.0
0	B3GNT8	6.0
0	B3GNT9	172.25
0	B4GALNT1	26.25
0	B4GALNT3	81.5
0	B4GALT6	68.25
0	BAAT	2.75
0	BABAM1	1115.5
0	BACE1	159.75
0	BAG2	523.0
0	BANP	371.25
0	BATF	588.0
0	BAZ2B	1329.75
0	BBC3	23.25
0	BBS12	26.0
0	BBS4	330.75
0	BBS7	247.5
0	BBX	1152.25
0	BCAP29	422.0
0	BCAP31	567.0
0	BCAR3	123.5
0	BCKDHA	145.75
0	BCL10	542.5
0	BCL2L1	1270.0
0	BCL2L10	5.5
0	BCL2L15	995.0
0	BCL2L2	30.0
0	BCL6	1188.75
0	BCL6B	8.5
0	BCL9	2071.75
0	BCL9L	12424.5
0	BCLAF1	10769.0
0	BCOR	3628.75
0	BCR	1307.0
0	BCS1L	457.0
0	BDH1	2259.75
0	BDH2	90.0
0	BDKRB1	39.75
0	BDP1	3254.5
0	BEAN1	133.5
0	BEST1	461.5
0	BET1	308.5
0	BEX2	548.0
0	BFAR	2018.25
0	BFSP1	12.0
0	BIRC2	307.0
0	BIRC5	413.5
0	BLCAP	1257.25
0	BLM	491.5
0	BLNK	5.75
0	BLOC1S2	647.25
0	BLOC1S6	31199.0
0	BMF	227.5
0	BMP2K	684.75
0	BMP4	4.5
0	BMPR1B	8.25
0	BMX	0.75
0	BNIP1	63.25
0	BNIP2	3431.5
0	BNIP3L	461.5
0	BNIPL	187.0
0	BOD1	324.75
0	BOD1L1	5993.25
0	BORCS7	1975.25
0	BRAF	2512.5
0	BRCA1	876.75
0	BRD1	1632.0
0	BRD4	10015.5
0	BRDT	97.5
0	BRF2	133.25
0	BRK1	931.0
0	BRMS1	470.5
0	BRMS1L	62.0
0	BRPF1	1060.25
0	BRWD1	2771.0
0	BSCL2	96.0
0	BTBD11	350.75
0	BTBD18	192.75
0	BTBD3	172.75
0	BTBD7	1515.5
0	BTBD8	119.5
0	BTBD9	1456.0
0	BTF3	1231.75
0	BTLA	346.75
0	BTN1A1	3.5
0	BTN2A1	603.0
0	BTNL8	5.75
0	BUB1	525.5
0	BUD31	657.5
0	C10orf105	10.0
0	C10orf67	40.75
0	C10orf90	0.5
0	C11orf1	329.0
0	C11orf24	732.0
0	C11orf49	376.25
0	C11orf58	2277.25
0	C11orf80	188.5
0	C12orf10	767.5
0	C12orf29	569.25
0	C12orf40	36.0
0	C12orf50	525.5
0	C12orf54	2.25
0	C12orf65	2381.75
0	C12orf66	514.25
0	C14orf119	410.0
0	C15orf39	1697.5
0	C15orf40	2090.5
0	C15orf41	533.25
0	C15orf61	167.75
0	C16orf46	1.75
0	C16orf58	698.75
0	C16orf70	1113.75
0	C17orf49	340.75
0	C17orf50	4.5
0	C17orf78	5.5
0	C17orf97	31.25
0	C17orf98	6.0
0	C18orf21	734.25
0	C18orf25	2158.25
0	C19orf18	3.25
0	C19orf54	399.25
0	C1D	364.75
0	C1GALT1	704.0
0	C1orf105	1.75
0	C1orf109	472.0
0	C1orf116	3.25
0	C1orf162	322.25
0	C1orf174	1514.5
0	C1orf198	127.5
0	C1orf216	276.75
0	C1orf52	521.0
0	C1orf54	32.25
0	C1orf61	335.25
0	C1orf74	116.75
0	C1QTNF1	6.25
0	C1QTNF7	18.0
0	C1QTNF9	30.5
0	C1QTNF9B	1.25
0	C1R	124.25
0	C1RL	452.25
0	C1S	67.25
0	C20orf96	30.75
0	C21orf62	4.5
0	C21orf91	862.25
0	C22orf46	61.0
0	C2CD4A	209.0
0	C2CD4D	29.25
0	C2CD5	1483.25
0	C2orf42	357.5
0	C2orf66	15.75
0	C2orf69	337.5
0	C2orf88	65.0
0	C3orf20	9.5
0	C3orf49	35.5
0	C3orf62	815.25
0	C4BPA	10.5
0	C4BPB	804.25
0	C4orf17	8.0
0	C4orf19	138.75
0	C4orf3	774.75
0	C4orf33	47.0
0	C4orf36	79.75
0	C4orf45	1.25
0	C4orf47	0.5
0	C5orf58	70.25
0	C5orf63	135.0
0	C6orf47	423.0
0	C7orf26	818.0
0	C7orf31	100.25
0	C7orf57	12.75
0	C7orf61	21.0
0	C8orf34	632.0
0	C8orf37	201.25
0	C9orf131	142.0
0	C9orf24	34.5
0	C9orf64	856.75
0	CA1	43.75
0	CA3	0.25
0	CA6	455.25
0	CAAP1	496.75
0	CAB39	4209.5
0	CAB39L	48.5
0	CABIN1	1982.25
0	CABLES1	103.75
0	CABP1	19.0
0	CABYR	159.0
0	CACFD1	82.75
0	CACNA1A	1999.75
0	CACNA1D	326.0
0	CACNB2	419.75
0	CACNB4	321.75
0	CADPS	319.0
0	CALCOCO1	2369.5
0	CALCOCO2	2639.75
0	CALN1	79.75
0	CAMK1G	3.75
0	CAMK2B	4.5
0	CAMK2D	4417.25
0	CAMK2G	1531.5
0	CAMK4	7156.25
0	CAMSAP1	2815.75
0	CAMTA1	256.75
0	CAMTA2	1745.5
0	CANX	38732.0
0	CAPG	73.75
0	CAPN2	2451.75
0	CAPN8	6.0
0	CAPRIN2	589.5
0	CAPS	744.5
0	CAPS2	188.25
0	CAPSL	1.5
0	CARD11	1330.25
0	CARD14	573.0
0	CARHSP1	1055.25
0	CARNMT1	720.5
0	CASC4	3505.25
0	CASP8AP2	781.75
0	CASS4	316.25
0	CAST	2831.25
0	CAT	396.0
0	CATIP	357.25
0	CATSPERB	281.75
0	CATSPERG	367.25
0	CAV1	1.5
0	CBFB	8301.0
0	CBL	5055.75
0	CBLL1	3804.25
0	CBX2	45.75
0	CBX3	2089.75
0	CBX5	9723.0
