ILC3_ATAC_count_bins	Gene_Name	Mean_Gene_Expression
0	A1CF	5.166666666666667
0	A2MP1	4.833333333333333
0	AADAT	3.6666666666666665
0	AARD	81.83333333333333
0	ABCA13	57.166666666666664
0	ABCB9	250.0
0	ABCC13	7.0
0	ABCC2	59.5
0	ABCC3	132.5
0	ABCC6	145.83333333333334
0	ABCC8	31.333333333333332
0	ABCC9	185.33333333333334
0	ABCF3	1657.3333333333333
0	ABHD16A	1019.3333333333334
0	ABI3BP	43.333333333333336
0	ABR	620.5
0	ACACA	327.6666666666667
0	ACADL	4.5
0	ACCS	583.6666666666666
0	ACOT4	25.833333333333332
0	ACOT9	1456.3333333333333
0	ACOX1	1926.5
0	ACOXL	43.166666666666664
0	ACSM2B	85.66666666666667
0	ACSS3	4.333333333333333
0	ACTA1	4.0
0	ACTA2	136.5
0	ACTB	41120.333333333336
0	ACTC1	2.1666666666666665
0	ACTG2	14.666666666666666
0	ACTN1	242.83333333333334
0	ACTR1B	654.6666666666666
0	ACVR2A	1576.0
0	ACVRL1	36.333333333333336
0	ADAM12	525.1666666666666
0	ADAMTS16	20.0
0	ADAMTS17	30.833333333333332
0	ADAMTS2	25.833333333333332
0	ADARB2	218.16666666666666
0	ADCY1	28.5
0	ADCYAP1R1	0.8333333333333334
0	ADGRA3	69.66666666666667
0	ADGRB1	0.16666666666666666
0	ADGRG5	171.5
0	ADGRV1	320.5
0	ADH4	16.833333333333332
0	ADORA1	9.0
0	ADPRM	818.0
0	ADRA1A	114.0
0	ADRM1	1164.3333333333333
0	AEBP1	2.0
0	AFF2	41.333333333333336
0	AGBL2	112.0
0	AGFG1	1350.0
0	AGMO	23.5
0	AGO3	2378.1666666666665
0	AGPAT3	123.66666666666667
0	AHRR	90.0
0	AIF1L	18.5
0	AIFM3	2.1666666666666665
0	AIMP1	1419.6666666666667
0	AKAP12	36.5
0	AKR1C2	5.833333333333333
0	ALDOB	4.166666666666667
0	ALDOC	4188.666666666667
0	ALG5	1014.8333333333334
0	ALKBH7	224.33333333333334
0	ALPK1	384.0
0	ALS2CL	28.166666666666668
0	AMER2	14.833333333333334
0	AMIGO3	47.333333333333336
0	AMMECR1	374.3333333333333
0	AMPD1	1.6666666666666667
0	AMT	1050.0
0	AMY2B	148.83333333333334
0	ANAPC11	1945.5
0	ANGPTL1	3.1666666666666665
0	ANGPTL3	0.6666666666666666
0	ANGPTL5	1.5
0	ANKEF1	106.5
0	ANKFN1	0.3333333333333333
0	ANKIB1	731.8333333333334
0	ANKRD20A5P	49.166666666666664
0	ANKRD24	0.16666666666666666
0	ANKRD26	668.1666666666666
0	ANKRD45	43.5
0	ANKRD62	55.666666666666664
0	ANKS1B	37.833333333333336
0	ANO5	4.333333333333333
0	ANTXR1	1.0
0	ANXA11	848.6666666666666
0	ANXA13	30.5
0	ANXA2	397.1666666666667
0	AOC2	11.0
0	AP1B1	483.8333333333333
0	AP1G2	5732.5
0	AP2A2	235.33333333333334
0	AP5Z1	87.16666666666667
0	APCDD1	15.0
0	APOB	5.666666666666667
0	APOBEC3D	1810.5
0	APOOL	1799.8333333333333
0	AQP1	2.0
0	AQP7P1	4.166666666666667
0	AR	6.666666666666667
0	ARC	1.6666666666666667
0	ARFGAP3	1998.0
0	ARG1	20.166666666666668
0	ARHGAP30	1836.0
0	ARHGAP4	284.5
0	ARHGAP6	58.5
0	ARHGDIA	1495.5
0	ARHGEF26	29.0
0	ARHGEF34P	1.5
0	ARHGEF35	6.166666666666667
0	ARHGEF38	55.166666666666664
0	ARHGEF6	2279.8333333333335
0	ARL1	947.0
0	ARL5A	328.0
0	ARMC10	372.3333333333333
0	ARMC4	2.1666666666666665
0	ARMC9	1390.1666666666667
0	ARMCX4	308.3333333333333
0	ARNT2	121.0
0	ARSD	343.5
0	ASB1	468.8333333333333
0	ASB16	32.833333333333336
0	ASCC3	779.3333333333334
0	ASMT	7.833333333333333
0	ASPSCR1	101.83333333333333
0	ASXL3	0.16666666666666666
0	ASZ1	22.333333333333332
0	ATAD2B	623.8333333333334
0	ATAD3B	92.16666666666667
0	ATF6	2033.3333333333333
0	ATP13A4	86.33333333333333
0	ATP13A5	1.3333333333333333
0	ATP1A1	1542.1666666666667
0	ATP1A3	106.66666666666667
0	ATP2B2	5.0
0	ATP2C2	11.166666666666666
0	ATP6V1C2	23.833333333333332
0	ATP8B1	120.0
0	ATP8B5P	3.0
0	ATR	805.6666666666666
0	ATRX	6297.0
0	ATXN7L3B	2051.0
0	AURKC	21.833333333333332
0	AXL	325.0
0	AZU1	71.5
0	B3GAT1	14.166666666666666
0	B3GNT4	85.16666666666667
0	BAGE2	1.0
0	BAIAP2L1	41.0
0	BAMBI	2.3333333333333335
0	BASP1	1.5
0	BBS4	1389.0
0	BCKDHB	559.0
0	BCKDK	238.33333333333334
0	BCL11B	2.0
0	BDH1	428.8333333333333
0	BEND2	47.333333333333336
0	BEND6	14.833333333333334
0	BEX2	1197.5
0	BEX4	1617.5
0	BFSP2	4.5
0	BHMT	11.166666666666666
0	BHMT2	60.666666666666664
0	BIRC2	1622.0
0	BLNK	5.333333333333333
0	BLOC1S2	1815.1666666666667
0	BMP3	20.5
