ATAC_count	Gene_Name	Mean_Gene_Expression
0	ABCB4	21.25
0	ABCB5	772.75
0	ABCB9	551.25
0	ABHD15	286.25
0	ACBD7	1137.5
0	ACOX3	248.75
0	ACRV1	44.5
0	ADAM29	99.75
0	ADCY1	82.0
0	ADCY10P1	163.25
0	ADGRA2	31.25
0	ADGRF1	448.75
0	ADH6	14.25
0	ADRA1A	416.5
0	AFDN	1692.75
0	AGAP1	81.5
0	AGBL2	86.25
0	AGMO	187.5
0	AKAP11	3722.0
0	AKAP9	3957.25
0	AKR1C2	77.25
0	AKR7A2	83.5
0	ALDH1A2	8.5
0	ALDH1B1	408.25
0	ALDH2	1271.0
0	ALDOB	8.25
0	ALKBH8	1029.25
0	ALOX12P2	574.5
0	AMOT	74.5
0	AMPH	28.75
0	ANGPT1	61.25
0	ANGPT2	554.75
0	ANGPTL1	22.75
0	ANKK1	18.25
0	ANKRD18A	155.5
0	ANKRD20A11P	71.25
0	ANKRD36	3249.0
0	ANKRD62	197.75
0	ANKS1B	100.25
0	ANKUB1	219.75
0	ANO5	23.25
0	ANTXRLP1	105.0
0	ANXA13	150.5
0	ANXA7	2034.0
0	AOC1	13.75
0	APBA1	100.0
0	APCDD1	41.0
0	APEX2	583.75
0	ARHGAP11B	329.0
0	ARHGAP29	191.5
0	ARHGAP42	4.5
0	ARMCX1	33.0
0	ARSD	557.0
0	ARSF	13.75
0	ASB1	412.5
0	ASB11	85.0
0	ASB18	166.75
0	ASMT	27.25
0	ASPHD2	190.75
0	ASPN	65.25
0	ASZ1	182.0
0	ATP10B	185.5
0	ATP10D	214.0
0	ATP2B2	23.75
0	ATP6AP1	653.5
0	ATP6V1B2	1048.75
0	ATP8A2	57.75
0	ATP8B1	276.0
0	AUTS2	1624.75
0	AZU1	256.75
0	B3GALT1	139.75
0	B3GALT5	33.0
0	B3GNT4	153.5
0	B4GALT5	2562.5
0	BAALC	11.75
0	BAAT	2.75
0	BAGE2	31.75
0	BANK1	46.5
0	BCAR1	14.0
0	BDNF	8.75
0	BEND6	25.5
0	BEST3	29.0
0	BEX1	31.0
0	BMP8A	8.25
0	BNC2	31.75
0	BRI3BP	1260.0
0	BTBD3	172.75
0	BTNL9	219.0
0	C12orf43	1195.75
0	C1orf116	3.25
0	C20orf144	144.5
0	C2orf83	430.0
0	C3orf70	117.5
0	C4orf48	41.5
0	C5orf15	1161.0
0	C6orf163	296.5
0	C8orf34	632.0
0	C8orf74	6.0
0	C8orf76	306.75
0	C9orf153	36.0
0	CA8	15.25
0	CABLES2	294.25
0	CACNB1	585.0
0	CACNB4	321.75
0	CALN1	79.75
0	CAMK1	774.25
0	CAPN7	889.75
0	CASKIN1	5.75
0	CASZ1	500.0
0	CBWD2	1400.5
0	CCBE1	285.5
0	CCDC126	162.75
0	CCDC154	7.75
0	CCDC180	857.0
0	CCDC24	129.5
0	CCDC74B	2.5
0	CCDC96	27.75
0	CCL15	14.75
0	CCL4L2	425.0
0	CCNJL	345.25
0	CCNYL2	39.5
0	CCSAP	393.25
0	CCT6P1	178.0
0	CD109	894.75
0	CD209	68.25
0	CD36	172.75
0	CD86	16.25
0	CD93	85.5
0	CD99	1515.25
0	CD99P1	766.75
0	CDH10	23.75
0	CDH19	1.0
0	CDH4	7.0
0	CDH8	128.25
0	CDH9	26.0
0	CDK14	61.25
0	CEBPD	21.0
0	CELF4	32.5
0	CEND1	5.0
0	CENPBD1P1	270.75
0	CERCAM	1025.0
0	CFTR	18.25
0	CHCHD2	1483.0
0	CHD5	18.5
0	CHIC1	582.75
0	CHRM2	29.75
0	CHRNA3	16.0
0	CHST1	1.75
0	CLDN18	30.5
0	CLDN20	83.75
0	CLDN4	68.75
0	CLEC1A	45.75
0	CLMN	348.5
0	CLN6	2626.0
0	CLU	139.25
0	CMTM4	102.75
0	CNGB3	3.75
0	COL15A1	22.25
0	COL1A2	32.25
0	COL6A2	76.25
0	COL7A1	8.5
0	COQ3	230.25
0	COX7B2	9.75
0	CPA4	182.25
0	CPA5	17.0
0	CPLX1	13.0
0	CPQ	199.25
0	CPS1	201.75
0	CRABP2	6.75
0	CRISPLD1	2.5
0	CRISPLD2	443.0
0	CSMD3	236.75
0	CSRNP3	9.0
0	CTNND2	7.25
0	CTSK	145.75
0	CTSO	91.0
0	CXCL8	8.5
0	CYLC2	80.0
0	CYP26C1	2.0
0	CYP4A11	64.0
0	CYP4F35P	16.75
0	DAAM2	238.5
0	DACH2	39.0
0	DAPK1	99.75
0	DCAF8L2	2.25
0	DCX	32.75
0	DDO	24.0
0	DDR2	53.75
0	DDX11L9	9.25
0	DDX31	650.5
0	DEF8	366.0
0	DEFA3	17.0
0	DENND1A	450.5
0	DGAT2	104.0
0	DGKB	184.5
0	DGKH	1825.0
0	DHRSX	437.5
0	DHX37	397.0
0	DIRAS2	388.5
0	DLC1	115.75
0	DLSTP1	72.75
0	DMRT1	11.75
0	DNAH9	123.25
0	DNAJC11	1574.5
0	DNMT3B	39.75
0	DOC2B	80.0
0	DOK7	8.5
0	DPRX	3.0
0	DPY19L2	71.0
0	DSC2	218.25
0	DSN1	272.25
0	DTD1	1409.5
0	DUT	496.75
0	DVL3	1144.75
0	DYNAP	81.5
0	DYNC1I1	22.75
0	DZIP1	35.75
0	ECHDC2	2270.75
0	EDA2R	5.25
0	EDNRB	5.25
0	EFHB	137.25
0	EIF3J	1496.25
0	ELAVL2	51.25
0	ELFN1	5.5
0	ELL3	37.0
0	ELMO3	34.5
0	EML1	279.25
0	ENHO	1.25
0	EPB41L4B	4.0
0	EPHA3	1.75
0	EPHB1	42.5
0	EPM2A	936.25
0	EPN1	2854.75
0	EPS8L2	41.5
0	ERFE	8.75
0	ERGIC3	2330.25
0	ERVFRD-1	52.25
0	ESRRB	4.75
0	EYS	939.25
0	F10	3.0
0	FABP7	37.25
0	FADD	359.25
0	FAIM2	2.5
0	FAM110B	5.0
0	FAM155A	46.25
0	FAM155B	10.0
0	FAM171B	8.0
0	FAM180A	5.75
0	FAM183BP	19.5
0	FAM78B	7.25
0	FAM83D	50.25
0	FAT1	18.0
0	FAXC	396.25
0	FBXO21	1064.25
0	FBXO25	453.75
0	FCN1	135.5
0	FGF7P6	55.25
0	FGFR2	64.75
0	FHOD3	15.75
0	FICD	266.25
0	FKTN	518.0
0	FOXD4L1	5.75
0	FOXD4L5	18.5
0	FOXN4	3.25
0	FOXP2	33.5
0	FRG1JP	30.0
0	FRG2	39.5
0	FRG2C	78.75
0	FRMD1	48.0
0	FRMD3	67.25
0	FRY	951.25
0	FSCN3	15.25
0	FSD1L	185.0
0	FUT9	94.75
0	FZD1	13.25
0	FZD6	224.0
0	GABRA2	2.0
0	GABRA4	9.25
0	GABRE	692.75
0	GABRR1	7.25
0	GALNT12	62.5
0	GALNT16	144.25
0	GALNT2	1043.25
0	GCK	26.5
0	GDA	491.25
0	GDAP1	605.0
0	GDPD4	26.25
0	GFRAL	78.0
0	GGH	67.5
0	GGTA1P	6.0
0	GIPC3	49.5
0	GJB7	95.5
0	GJD4	26.0
0	GK	1045.75
0	GLI3	1.5
0	GLIS3	90.75
0	GLP1R	6.75
0	GLRA3	194.0
0	GLRX2	413.5
0	GLT1D1	3.5
0	GNAO1	219.5
0	GOLGA2P11	24.25
0	GOLGA2P9	1.5
0	GOLGA6L9	1858.5
0	GOLGA8J	255.75
0	GOLGA8T	7.75
0	GPATCH8	3026.0
0	GPD1	12.75
0	GPR119	2.75
0	GPR151	13.0
0	GPR85	376.5
0	GRAP	134.0
0	GREB1	235.75
0	GRHPR	549.25
0	GRIA3	4.0
0	GRIK2	416.0
0	GSDMC	68.5
0	GTPBP6	1448.25
0	GUCY1B2	5.5
0	GUSB	625.0
0	GYG2	1.5
0	HAPLN4	5.0
0	HAUS1	353.25
0	HCG22	1.5
0	HDAC5	426.5
0	HDAC9	106.0
0	HDX	22.25
0	HES6	23.0
0	HHLA1	1012.0
0	HIC2	700.25
0	HLX	35.0
0	HNF4G	9.5
0	HNRNPR	4873.75
0	HOXA2	12.5
0	HOXA3	3.25
0	HRG	275.5
0	HSD11B2	72.5
0	HTN1	338.25
0	HTN3	506.5
0	HTR2B	179.25
0	HYAL4	141.75
0	HYI	197.25
0	IDH1	158.5
0	IDH3A	1218.0
0	IDO1	21.0
0	IDO2	333.75
0	IFNW1	3.5
0	IGHV1OR15-1	49.25
0	IGSF1	30.75
0	IL12A	17.0
0	IL18BP	1701.0
0	IL7	15.25
0	IL9R	24.5
0	ILDR1	19.0
0	IMMP2L	235.5
0	IMPA1	368.25
0	IMPG2	138.25
0	INCA1	98.5
0	INPPL1	1656.75
0	INSC	16.25
0	INSL3	62.0
0	INSL4	3.5
0	INSM1	157.0
0	INTU	1613.25
0	IQCF2	2.5
0	IRAK1	1180.5
0	IREB2	2955.0
0	ITGA3	544.25
0	ITGA9	52.5
0	ITGB8	659.25
0	IVD	886.0
0	JAKMIP2	245.25
0	JMJD8	218.75
0	KCNA1	4.5
0	KCNG1	125.25
0	KCNG4	130.25
0	KCNIP3	2.5
0	KCNK3	109.75
0	KCNMB4	80.25
0	KCNV1	172.5
0	KDF1	12.25
0	KHDRBS2	1.0
0	KIAA0895	137.75
0	KIAA1755	18.25
0	KIDINS220	2484.5
0	KIF17	12.5
0	KIF1C	1525.75
0	KIF5A	53.0
0	KIF7	11.25
0	KIFC3	106.25
0	KLF4	7.75
0	KLHDC8B	11.25
0	KLHL34	30.25
0	KLHL4	2.75
0	KRBA1	185.0
0	KRT18P55	2.0
0	KRT80	4.0
0	KRTCAP3	22.25
0	KY	12.25
0	LAMB4	51.0
0	LARP6	36.0
0	LCA5	3.5
0	LCTL	302.75
0	LDOC1	159.5
0	LHFPL4	29.25
0	LHFPL5	154.5
0	LILRA5	44.25
0	LIMCH1	1.5
0	LIMK1	480.5
0	LIN7A	5.25
0	LINC00475	3.75
0	LINC00933	37.5
0	LINC01529	33.25
0	LINC01881	79.0
0	LIPH	112.0
0	LLGL1	628.75
0	LOXL4	135.75
0	LRRC1	63.0
0	LRRC10	32.0
0	LRRC14	539.75
0	LRRC17	2.0
0	LRRC18	9.5
0	LRRC37A4P	1731.5
0	LRRC39	36.5
0	LRRC69	884.25
0	LRRTM4	393.25
0	MAGEA10	167.0
0	MAGEB10	106.5
0	MAGI2	550.75
0	MAGOH	318.25
0	MANEAL	61.75
0	MAPRE1	1697.0
0	MCF2	5.25
0	MCHR2	16.5
0	MCMDC2	306.0
0	ME1	3.75
0	ME3	104.0
0	MED22	1581.75
0	MEI4	1.5
0	MEIS1	2.25
0	MELK	110.25
0	MGLL	132.0
0	MICALL2	10.25
0	MICU3	96.75
0	MID1	10.25
0	MKS1	264.25
0	MLIP	42.0
0	MLLT10P1	6.5
0	MMS22L	2272.75
0	MNX1	2.5
0	MOCS1	22.5
0	MPP1	141.5
0	MPP4	209.25
0	MRAP2	2.75
0	MRAS	73.0
0	MRLN	62.75
0	MRM2	929.0
0	MROH7	109.25
0	MRPL15	243.25
0	MRPS17	1445.5
0	MS4A5	14.25
0	MSR1	74.25
0	MTHFD1L	1129.0
0	MTHFD2P1	150.5
0	MTRNR2L5	22.75
0	MUC12	91.5
0	MUC15	27.5
0	MUC19	10.0
0	MUC6	991.75
0	MYO10	298.0
0	MYO15A	246.75
0	MYO3B	84.25
0	MYO6	106.5
0	NANOS1	219.5
0	NAPEPLD	440.0
0	NCF1	51.25
0	NEK4	1064.5
0	NHLRC1	25.0
0	NHS	200.0
0	NOL10	1611.25
0	NPB	40.75
0	NPFFR2	89.0
0	NPNT	2.0
0	NRG3	26.25
0	NSUN4	1426.5
0	NTRK2	44.75
0	NUDT1	410.75
0	NYNRIN	3.5
0	OAF	129.75
0	OGDHL	5.0
0	OGFRL1	940.5
0	OLFML1	130.5
0	OPN1SW	20.75
0	OPRK1	16.0
0	OR10G4	101.5
0	OR11G2	33.75
0	OR1J2	2.5
0	OR1J4	3.0
0	OR4K17	230.5
0	OR4K2	11.25
0	OR4P4	63.25
0	OR51M1	1323.25
0	OR5AS1	1647.25
0	OR6C6	53.25
