H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	A2M	494.0
0	AADACL3	2.75
0	AAK1	6141.0
0	AANAT	7.75
0	AARS2	619.0
0	ABAT	605.5
0	ABCA13	165.75
0	ABCA3	185.75
0	ABCB11	92.0
0	ABCB4	21.25
0	ABCB5	772.75
0	ABCB9	551.25
0	ABCC1	2251.75
0	ABCC11	55.5
0	ABCC6	301.0
0	ABCG1	1156.5
0	ABCG4	2.5
0	ABHD11-AS1	8.25
0	ABI3BP	64.75
0	ABO	498.25
0	ABR	2579.0
0	ABRA	46.25
0	ACAA2	1402.25
0	ACADL	24.25
0	ACAP3	179.0
0	ACAT1	582.75
0	ACBD7	1137.5
0	ACE	147.75
0	ACO1	449.5
0	ACOT1	37.75
0	ACOX2	1.75
0	ACOX3	248.75
0	ACOXL	213.25
0	ACRBP	27.75
0	ACRV1	44.5
0	ACSF2	67.0
0	ACSF3	2466.25
0	ACSL1	851.5
0	ACSS3	47.25
0	ACTA1	6.25
0	ACTG2	216.75
0	ACTL6A	1353.25
0	ACTN4	10785.25
0	ACTR1B	2087.25
0	ACVRL1	22.5
0	ACY1	600.0
0	ACY3	3.0
0	ADAD1	15.5
0	ADAD2	15.0
0	ADAM17	1820.5
0	ADAM19	2433.5
0	ADAM20	12.5
0	ADAM20P1	10.5
0	ADAM22	282.0
0	ADAM23	92.0
0	ADAM29	99.75
0	ADAM32	850.25
0	ADAM33	7.0
0	ADAM3A	36.25
0	ADAMTS1	93.0
0	ADAMTS10	91.5
0	ADAMTS17	399.5
0	ADAMTS7	9.25
0	ADAMTSL2	32.0
0	ADAMTSL5	273.5
0	ADARB2	112.5
0	ADCY1	82.0
0	ADCY10P1	163.25
0	ADCY3	947.25
0	ADCY6	31.0
0	ADCYAP1R1	2.0
0	ADGB	97.0
0	ADGRA2	31.25
0	ADGRB1	15.0
0	ADGRB2	3.5
0	ADGRD1	51.75
0	ADGRE1	101.25
0	ADGRE2	303.75
0	ADGRE3	6.75
0	ADGRF1	448.75
0	ADGRF2	18.75
0	ADGRG1	331.25
0	ADGRG3	15.5
0	ADGRG5	227.25
0	ADGRG6	12.25
0	ADH4	168.75
0	ADH5	767.0
0	ADH6	14.25
0	ADH7	3.25
0	ADORA2B	32.0
0	ADPRHL1	88.25
