ATAC_count	Gene_Name	Mean_Gene_Expression
0	ABCF1	7776.0
0	ACMSD	9.75
0	AMOT	74.5
0	ANKAR	83.0
0	ANKFN1	2.75
0	ANKS1B	100.25
0	ANO9	580.5
0	APOD	13.25
0	ARF4	706.75
0	ARHGEF38	184.25
0	ATF5	656.0
0	AVL9	1850.0
0	C11orf58	2277.25
0	C7orf31	100.25
0	CALN1	79.75
0	CCDC28A	140.75
0	CD109	894.75
0	CD160	214.0
0	CD79B	32.5
0	CD99	1515.25
0	CDC27	1075.25
0	CGRRF1	102.25
0	CHKA	263.0
0	CHST11	2341.0
0	CNOT11	1210.75
0	CPA4	182.25
0	CSNK2A1	5558.75
0	CSNK2A3	5.0
0	CTSK	145.75
0	CYP3A43	565.5
0	CYP7B1	1.25
0	DGKB	184.5
0	DSC1	64.0
0	DUSP28	751.5
0	EFNB1	211.75
0	ELL3	37.0
0	EYS	939.25
0	FAM189A2	2.25
0	FAM53A	14.5
0	FBXO3	730.75
0	FCRL1	142.75
0	FUCA2	184.0
0	GALR2	73.75
0	GBE1	292.0
0	GDAP1	605.0
0	GTF3C1	1416.25
0	HAUS4	418.0
0	HDAC8	863.0
0	HS1BP3	136.25
0	HSF5	231.5
0	IFT81	477.5
0	IL18BP	1701.0
0	ILKAP	1032.5
0	INIP	843.75
0	ISG15	77.75
0	L1TD1	58.75
0	LDHAL6A	166.0
0	LGALS12	1.0
0	MAPK1IP1L	7945.75
0	MBNL3	530.0
0	MCTP1	107.5
0	MEX3A	21.0
0	MIA	0.75
0	MNAT1	271.75
0	MRPS18A	190.0
0	MSANTD3	332.25
0	MTRNR2L1	1079828.25
0	MUC16	37.5
0	MYH3	373.75
0	MYO1C	393.0
0	NCKAP1L	5968.75
0	NELFCD	1442.75
0	NPTX2	1.5
0	NPW	4.25
0	OR10J1	92.5
0	OR14J1	1588.0
0	OR1J2	2.5
0	OR1L8	14.25
0	OR2A5	253.25
0	OR2V1	21.0
0	OR52I2	6.25
0	OR5K2	1.5
0	OR5T2	3.75
0	OR8J3	47.75
0	P2RY13	10.0
0	PARP15	2800.0
0	PCBD2	553.0
0	PCDHA9	195.5
0	PCDHB11	39.0
0	PCDHB16	95.5
0	PCK2	1615.5
0	PDE11A	311.5
0	PHACTR2	6413.5
0	PHACTR4	4063.0
0	PHF10	1418.25
0	PKD2L2	219.25
0	PKIA	289.25
0	PMP2	7.0
0	PNPLA1	112.5
0	POLR1E	711.75
0	PPFIA1	1462.75
0	PSMB9	1111.25
0	PTGR1	364.25
0	RAB33B	635.25
0	RGS5	30.75
0	RNASE6	9.0
0	RP1L1	369.0
0	RPL10A	11894.0
0	RRAGA	992.75
0	RSPH9	84.0
0	SBNO2	1196.25
0	SCFD1	969.0
0	SERPINB10	200.5
0	SETDB1	1418.75
0	SH2D1B	12.5
0	SLC13A4	215.0
0	SLC15A3	78.75
0	SLC26A10	9.25
0	SLC27A4	259.25
0	SLC27A5	964.75
0	SLC35E1	2777.25
0	SLC9A8	606.75
0	SNRPB	665.25
0	SPIN1	724.5
0	SRCAP	6338.0
0	TAS2R5	18.75
0	TNNC2	4.5
0	TPH1	334.75
0	TPK1	299.0
0	TRPM3	51.5
0	TRPM8	98.0
0	TSPAN3	911.75
0	UHMK1	5780.75
0	UTP14C	520.75
0	WDR60	1264.5
0	ZBED6CL	148.75
0	ZBTB45	385.0
0	ZFAND3	504.5
0	ZFP92	134.0
0	ZNF446	60.75
0	ZNF716	450.5
1	ABCB7	669.5
1	ACSS1	653.25
1	ADHFE1	156.0
1	AKAP17A	606.0
1	AP1G2	4304.5
1	APLN	2.5
1	ARL13B	204.0
1	ATF6	1972.5
1	B3GLCT	64.0
1	BDKRB1	39.75
1	BMP4	4.5
1	BTNL8	5.75
1	C10orf67	40.75
1	C1orf109	472.0
1	CCDC138	258.25
1	CELSR2	152.0
1	CHCHD3	592.75
1	CIRBP	3274.0
1	CNPY2	1104.5
1	CNTD2	17.5
1	COL23A1	17.25
1	COL9A1	219.5
1	COLQ	186.75
1	COX16	334.5
1	COX7C	2935.75
1	CPNE6	132.25
1	CPVL	3.75
1	CRB2	78.75
1	CTAGE1	4.0
1	CWF19L2	1166.75
1	CYB5R2	153.75
1	CYB5R4	848.5
1	CYP11A1	29.0
1	DAXX	1957.25
1	DDX50	703.25
1	DHX15	4913.75
1	DNAJA2	3502.75
1	EDAR	198.75
1	EFNB2	4.75
1	FBXL4	495.75
1	FNTB	422.5
1	GABRR2	2.75
1	GADD45A	321.25
1	GNGT1	49.25
1	GOLGA4	2841.0
1	GREM2	55.0
1	GRN	487.0
1	IDH2	791.75
1	IMP3	441.0
1	INO80D	2564.5
1	KIAA1586	189.5
1	KIF26B	31.25
1	KLHDC10	842.75
1	KPNA5	3651.75
1	KPNA6	2428.75
1	LANCL1	609.75
1	LHFPL1	4.25
1	LMBR1	1970.25
1	LRIT3	20.25
1	LSM14A	6732.0
1	MAGT1	1444.75
1	MAN2A1	1248.75
1	MARS2	1013.25
1	MB21D2	86.5
1	MRPL3	2711.5
1	MRPL36	353.75
1	MTMR14	1631.5
1	MYOM2	31.0
1	NASP	5770.75
1	NATD1	245.0
1	NAV2	84.5
1	NBAS	1202.25
1	NCF2	171.0
1	NDUFAF3	1748.0
1	NRDC	5267.75
1	NUDT10	14.0
1	OTUB1	1287.0
1	PARP16	260.75
1	PAX8	136.75
1	PCDHB2	37.0
1	PHYHD1	86.25
1	PIP5K1A	4006.5
1	PKD1L3	15.0
1	PKHD1	3.5
1	PM20D2	1167.0
1	POLE4	346.75
1	PROC	9.0
1	PSMB10	1794.25
1	RABIF	650.0
1	RAD21	6172.75
1	RAMP3	3.75
1	RCC2	2465.5
1	RCN2	2423.25
1	RGL2	423.5
1	RHBDF2	484.0
1	RHEBL1	13.75
1	RNGTT	1112.25
1	RPS21	1684.25
1	RSL1D1	7682.0
1	RUNX2	6535.5
1	RYK	1121.25
1	S100A9	4.75
1	SAP18	852.25
1	SETBP1	63.5
1	SIRT7	398.0
1	SLC17A4	8.5
1	SLC23A1	82.25
1	SLC9A2	8.25
1	SLC9A9	305.0
1	SLCO2B1	34.0
1	SMARCAD1	1513.75
1	SNX12	1063.25
1	SRSF12	201.75
1	STK38	2193.25
1	TAF6L	215.75
1	TBXAS1	166.75
1	TDRD7	232.75
1	TERF1	815.5
1	TFB1M	305.5
1	TGM4	14.0
1	TIMM23	1291.25
1	TINF2	1397.0
1	TMEM159	204.25
1	TMEM160	78.75
1	TMEM87B	275.75
1	TMEM98	180.75
1	TMPRSS9	80.5
1	TNFRSF10B	981.75
1	TWISTNB	348.5
1	TYK2	975.25
1	UBE2D1	246.5
1	URI1	1355.25
1	WEE2	4.0
1	ZBTB41	279.5
1	ZFAND5	1122.75
1	ZFYVE19	242.25
1	ZMPSTE24	728.25
1	ZNF12	551.75
1	ZNF317	1072.25
1	ZNF92	653.5
1	ZNRF2	142.5
1	ZSWIM6	680.0
2	ABCA13	165.75
