H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	AAAS	2411.0
0	AAK1	6141.0
0	AARS2	619.0
0	AASDH	83.75
0	ABCA1	397.75
0	ABCA13	165.75
0	ABCA3	185.75
0	ABCB7	669.5
0	ABCD2	209.75
0	ABCF1	7776.0
0	ABCF3	919.0
0	ABHD12	245.5
0	ABHD16A	590.0
0	ABHD4	281.25
0	ABLIM3	1.5
0	ABRA	46.25
0	ACAA1	573.75
0	ACAA2	1402.25
0	ACAP1	2491.75
0	ACAP2	3820.25
0	ACAT1	582.75
0	ACBD5	796.0
0	ACER2	56.5
0	ACKR3	110.5
0	ACMSD	9.75
0	ACOX2	1.75
0	ACP6	331.75
0	ACSBG1	448.75
0	ACSM3	78.0
0	ACSS1	653.25
0	ACTB	55244.25
0	ACTL6A	1353.25
0	ACTR1B	2087.25
0	ADAM17	1820.5
0	ADAMTS17	399.5
0	ADAMTS8	3.75
0	ADAMTSL2	32.0
0	ADCY10	2.75
0	ADCY9	571.0
0	ADD1	3684.25
0	ADD3	8211.5
0	ADHFE1	156.0
0	ADIPOQ	164.5
0	ADIPOR2	544.0
0	ADNP	1315.25
0	ADTRP	442.0
0	AEN	944.75
0	AFF1	4759.25
0	AFTPH	2607.25
0	AGA	243.75
0	AGAP2	1748.75
0	AGBL5	388.25
0	AGFG1	5271.0
0	AHCYL2	844.5
0	AHNAK	18251.25
0	AHNAK2	3.0
0	AIFM1	1066.5
0	AIM2	551.5
0	AIMP1	749.75
0	AIP	489.25
0	AK1	76.25
0	AK9	622.0
0	AKAP7	524.25
0	AKAP8	2540.75
0	AKAP8L	602.5
0	AKIRIN1	1812.0
0	AKR1C3	6.75
0	ALDH4A1	62.75
0	ALDH8A1	105.75
0	ALG14	787.75
0	ALKBH1	183.0
0	ALKBH3	177.5
0	ALPK1	686.5
0	ALPK2	66.5
0	AMD1	3405.75
0	AMMECR1	513.5
0	AMN1	409.5
0	AMOT	74.5
0	AMZ2	1129.75
0	ANAPC15	1343.0
0	ANGPTL5	1.0
0	ANKAR	83.0
0	ANKDD1A	898.5
0	ANKFN1	2.75
0	ANKRD10	1164.5
0	ANKRD11	11882.0
0	ANKRD23	71.0
0	ANKRD46	555.5
0	ANKRD55	335.5
0	ANKS1B	100.25
0	ANKS4B	401.5
0	ANO9	580.5
0	ANP32E	14317.25
0	AOC2	61.25
0	AP1G2	4304.5
0	AP1M1	2087.0
0	AP1M2	4.0
0	AP2M1	1775.75
0	AP3B1	1940.5
0	APBB1	703.5
0	APLN	2.5
0	APMAP	1070.0
0	APOBEC3B	25.0
0	APOD	13.25
0	APOE	184.25
0	APOH	10.5
0	APOL4	496.0
0	APOL6	2822.25
0	AQP10	3.75
0	AQP6	141.75
0	ARAF	1435.25
0	ARAP2	1499.0
0	ARAP3	60.75
0	ARF4	706.75
0	ARF6	3211.25
0	ARFIP1	324.5
0	ARG1	126.5
0	ARHGAP10	275.75
0	ARHGAP15	1290.5
0	ARHGAP17	1468.75
0	ARHGAP18	131.75
0	ARHGAP35	1478.0
0	ARHGEF3	5602.75
0	ARHGEF38	184.25
0	ARID3B	1268.75
0	ARID5A	782.5
0	ARL14EP	1008.5
0	ARL2BP	449.5
0	ARL5A	957.0
0	ARL6	115.25
0	ARL6IP5	2069.0
0	ARL9	289.25
0	ARMC12	5.25
0	ARMC2	51.25
0	ARMCX5	187.75
0	ARPC4	6056.0
0	ARRDC2	606.75
0	ARRDC3	1620.0
0	ARSG	1103.25
0	ART3	491.25
0	ART4	120.5
0	ASAP1	5155.5
0	ASAP3	56.25
0	ASF1A	1142.5
0	ASGR1	92.25
0	ASNS	1581.5
0	ASPM	101.5
0	ATAD1	1328.5
0	ATF4	4483.0
0	ATF5	656.0
0	ATF6	1972.5
0	ATF7IP2	729.5
0	ATG101	229.25
0	ATG16L1	1234.75
0	ATG5	291.0
0	ATP13A3	4404.5
0	ATP1A1	35459.75
0	ATP23	162.25
0	ATP2A1	47.5
