H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	AAK1	6141.0
0	ABCA13	165.75
0	ABCA3	185.75
0	ABCD2	209.75
0	ABCF1	7776.0
0	ABHD4	281.25
0	ABRA	46.25
0	ACAA2	1402.25
0	ACAT1	582.75
0	ACMSD	9.75
0	ACOX2	1.75
0	ACSBG1	448.75
0	ACSS1	653.25
0	ACTL6A	1353.25
0	ACTR1B	2087.25
0	ADAM17	1820.5
0	ADAMTS17	399.5
0	ADAMTS8	3.75
0	ADAMTSL2	32.0
0	ADCY10	2.75
0	ADHFE1	156.0
0	ADIPOR2	544.0
0	ADTRP	442.0
0	AEN	944.75
0	AGBL5	388.25
0	AGFG1	5271.0
0	AHNAK	18251.25
0	AIFM1	1066.5
0	AIMP1	749.75
0	AK1	76.25
0	AKR1C3	6.75
0	AKT3	1921.25
0	ALPK1	686.5
0	ALPK2	66.5
0	AMMECR1	513.5
0	AMOT	74.5
0	ANGPTL5	1.0
0	ANKAR	83.0
0	ANKFN1	2.75
0	ANKH	5278.0
0	ANKRD11	11882.0
0	ANKRD23	71.0
0	ANKRD55	335.5
0	ANKS1B	100.25
0	ANKS4B	401.5
0	ANO9	580.5
0	AOC2	61.25
0	AP1G2	4304.5
0	AP1M1	2087.0
0	AP1M2	4.0
0	APBB1	703.5
0	APLN	2.5
0	APOBEC3B	25.0
0	APOD	13.25
0	APOE	184.25
0	APOH	10.5
0	APOL4	496.0
0	APOL6	2822.25
0	AQP10	3.75
0	AQP6	141.75
0	ARAF	1435.25
0	ARAP2	1499.0
0	ARF4	706.75
0	ARF6	3211.25
0	ARFIP1	324.5
0	ARG1	126.5
0	ARHGAP10	275.75
0	ARHGAP15	1290.5
0	ARHGAP17	1468.75
0	ARHGAP18	131.75
0	ARHGAP35	1478.0
0	ARHGEF38	184.25
0	ARL14EP	1008.5
0	ARL2BP	449.5
0	ARMC12	5.25
0	ARMC2	51.25
0	ARMCX5	187.75
0	ARPC4	6056.0
0	ARRDC2	606.75
0	ARSG	1103.25
0	ASAP1	5155.5
0	ASAP3	56.25
0	ASF1A	1142.5
0	ASGR1	92.25
0	ASTL	13.75
0	ATF5	656.0
0	ATF6	1972.5
0	ATF7IP2	729.5
0	ATP2B1	1391.0
0	ATP6V0D2	119.0
