ATAC_count	Gene_Name	Mean_Gene_Expression
0	A1BG	666.0
0	A1CF	43.0
0	A2M	494.0
0	A2ML1	89.5
0	AAAS	2411.0
0	AADAT	28.25
0	AAK1	6141.0
0	AAMDC	628.75
0	AATF	4504.5
0	ABAT	605.5
0	ABCA12	4.75
0	ABCA13	165.75
0	ABCB1	139.0
0	ABCB11	92.0
0	ABCB5	772.75
0	ABCB6	221.25
0	ABCC11	55.5
0	ABCC2	151.25
0	ABCC3	185.0
0	ABCC5	479.75
0	ABCC9	981.75
0	ABHD12	245.5
0	ABHD6	111.75
0	ABI3BP	64.75
0	ABL1	1031.25
0	ABRA	46.25
0	ABT1	295.5
0	ACAA1	573.75
0	ACACB	1657.5
0	ACAD11	433.75
0	ACADM	717.25
0	ACAP1	2491.75
0	ACAP2	3820.25
0	ACAT2	496.5
0	ACCS	164.25
0	ACD	778.25
0	ACER2	56.5
0	ACKR3	110.5
0	ACKR4	29.75
0	ACMSD	9.75
0	ACOT2	229.0
0	ACOX1	777.75
0	ACRV1	44.5
0	ACSL1	851.5
0	ACSL6	941.0
0	ACSM1	2.75
0	ACSM2B	80.0
0	ACSM3	78.0
0	ACSM5	4.25
0	ACSM6	12.25
0	ACSS1	653.25
0	ACSS3	47.25
0	ACTG2	216.75
0	ACTR1B	2087.25
0	ACTR6	287.5
0	ACVR1B	589.5
0	ACVR1C	243.5
0	ACVR2A	391.75
0	ADAM17	1820.5
0	ADAM21	3.5
0	ADAM22	282.0
0	ADAM23	92.0
0	ADAM28	18.75
0	ADAM32	850.25
0	ADAMTS8	3.75
0	ADAMTS9	17.5
0	ADARB2	112.5
0	ADAT1	570.75
0	ADCK2	186.5
0	ADCY10	2.75
0	ADCY2	380.25
0	ADCY9	571.0
0	ADCYAP1R1	2.0
0	ADD1	3684.25
0	ADGB	97.0
0	ADGRA3	814.75
0	ADGRD1	51.75
0	ADGRF1	448.75
0	ADGRG1	331.25
0	ADGRG2	597.75
0	ADGRG6	12.25
0	ADGRL2	0.25
0	ADGRV1	2033.75
0	ADH1B	101.25
0	ADH4	168.75
0	ADH6	14.25
0	ADH7	3.25
0	ADHFE1	156.0
0	ADK	460.0
0	ADNP2	1887.5
0	ADORA2A	342.75
0	ADPRHL1	88.25
0	ADPRM	117.25
0	ADRB3	21.25
0	ADRM1	1947.5
0	ADTRP	442.0
0	AEBP2	2602.0
0	AFAP1L1	11.0
0	AFF4	3690.75
0	AFG3L2	756.5
0	AFMID	1871.25
0	AFTPH	2607.25
