ATAC_count	Gene_Name	Mean_Gene_Expression
0	AADAT	28.25
0	AASS	800.5
0	AATF	4504.5
0	ABCA12	4.75
0	ABCA8	735.5
0	ABCB1	139.0
0	ABCB4	21.25
0	ABCB5	772.75
0	ABCB6	221.25
0	ABCB9	551.25
0	ABCC2	151.25
0	ABCC3	185.0
0	ABCC5	479.75
0	ABHD17C	121.0
0	ABHD3	304.25
0	ABI3BP	64.75
0	ACAD11	433.75
0	ACCS	164.25
0	ACER2	56.5
0	ACKR4	29.75
0	ACOX1	777.75
0	ACOX3	248.75
0	ACRV1	44.5
0	ACSS3	47.25
0	ACTA1	6.25
0	ACTG2	216.75
0	ACTN4	10785.25
0	ADAD2	15.0
0	ADAM20P1	10.5
0	ADAM21	3.5
0	ADAM22	282.0
0	ADAM28	18.75
0	ADAM29	99.75
0	ADAM32	850.25
0	ADAMTS2	37.0
0	ADAMTS9	17.5
0	ADAP2	11.0
0	ADCK2	186.5
0	ADCY1	82.0
0	ADCY10P1	163.25
0	ADCY9	571.0
0	ADCYAP1R1	2.0
0	ADD2	792.5
0	ADGRB2	3.5
0	ADGRD1	51.75
0	ADGRF1	448.75
0	ADGRG2	597.75
0	ADGRG6	12.25
0	ADGRL2	0.25
0	ADK	460.0
0	ADRA1A	416.5
0	ADRB3	21.25
0	AEBP2	2602.0
0	AFF4	3690.75
0	AFG3L2	756.5
0	AFMID	1871.25
0	AGAP1	81.5
0	AGBL1	42.75
0	AGBL2	86.25
0	AGBL4	76.75
0	AGMO	187.5
0	AKAP11	3722.0
0	AKAP14	2.25
0	AKAP6	597.75
0	AKR1C2	77.25
0	ALAS1	1096.75
0	ALCAM	527.5
0	ALDH1A2	8.5
0	ALDH1L2	159.5
0	ALDOB	8.25
0	ALG3	1944.25
0	ALK	128.75
0	ALKBH1	183.0
0	ALKBH6	1107.0
0	ALS2	571.0
0	AMER2	55.0
0	AMPH	28.75
0	ANGEL2	869.25
0	ANGPT1	61.25
0	ANGPTL1	22.75
0	ANGPTL3	1.5
0	ANGPTL7	98.25
0	ANK2	0.75
0	ANKFN1	2.75
0	ANKK1	18.25
0	ANKMY1	604.5
0	ANKRD16	206.25
0	ANKRD30BP2	42.25
0	ANKRD36	3249.0
0	ANKRD62	197.75
0	ANKRD7	7.75
0	ANKS1B	100.25
0	ANKUB1	219.75
0	ANO2	2.75
0	ANP32B	7691.5
0	ANTXR1	1.5
0	ANXA5	1438.0
0	ANXA7	2034.0
0	AP1B1	1317.75
0	AP4S1	1114.25
0	APC2	23.25
0	APCDD1	41.0
0	APELA	35.25
0	APOA1	1.0
0	APOB	6.75
0	APOBEC3A	709.75
0	APOO	100.5
0	APRT	1061.25
0	AREL1	3526.5
0	ARHGAP1	2825.25
0	ARHGAP11A	2099.75
0	ARHGAP11B	329.0
0	ARHGAP12	420.0
0	ARHGAP29	191.5
0	ARHGAP44	73.0
0	ARHGAP6	2.75
