H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	A2M	494.0
0	A2MP1	114.25
0	AADACL3	2.75
0	AADAT	28.25
0	AAK1	6141.0
0	AANAT	7.75
0	AASS	800.5
0	AATF	4504.5
0	AATK	1.5
0	ABAT	605.5
0	ABCA12	4.75
0	ABCA13	165.75
0	ABCA3	185.75
0	ABCA8	735.5
0	ABCB1	139.0
0	ABCB11	92.0
0	ABCB4	21.25
0	ABCB5	772.75
0	ABCB6	221.25
0	ABCB9	551.25
0	ABCC1	2251.75
0	ABCC11	55.5
0	ABCC13	10.25
0	ABCC2	151.25
0	ABCC3	185.0
0	ABCC5	479.75
0	ABCC6	301.0
0	ABCC9	981.75
0	ABCF2	2708.5
0	ABCG1	1156.5
0	ABCG2	17.5
0	ABCG4	2.5
0	ABHD13	360.5
0	ABHD15	286.25
0	ABHD17C	121.0
0	ABHD3	304.25
0	ABI3BP	64.75
0	ABL1	1031.25
0	ABO	498.25
0	ABR	2579.0
0	ACAA2	1402.25
0	ACAD11	433.75
0	ACADL	24.25
0	ACAN	113.5
0	ACBD6	794.5
0	ACCS	164.25
0	ACE	147.75
0	ACIN1	5503.75
0	ACKR2	150.75
0	ACKR3	110.5
0	ACKR4	29.75
0	ACO1	449.5
0	ACOT1	37.75
0	ACOT4	43.75
0	ACOT7	1279.25
0	ACOT9	1000.0
0	ACOX1	777.75
0	ACOXL	213.25
0	ACP2	220.5
0	ACRBP	27.75
0	ACRV1	44.5
0	ACSBG1	448.75
0	ACSBG2	15.75
0	ACSF2	67.0
0	ACSF3	2466.25
0	ACSL1	851.5
0	ACSS2	283.25
0	ACSS3	47.25
0	ACTA1	6.25
0	ACTA2	260.5
0	ACTG1	7703.5
0	ACTG2	216.75
0	ACTN4	10785.25
0	ACTR1B	2087.25
0	ACTR2	11096.75
0	ACTR3	11801.25
0	ACVR1B	589.5
0	ACVRL1	22.5
0	ADAD1	15.5
0	ADAD2	15.0
0	ADAM12	118.5
0	ADAM19	2433.5
0	ADAM20P1	10.5
0	ADAM21	3.5
0	ADAM22	282.0
0	ADAM28	18.75
0	ADAM29	99.75
0	ADAM32	850.25
0	ADAM33	7.0
0	ADAM8	500.0
0	ADAMTS10	91.5
0	ADAMTS2	37.0
0	ADAMTS7	9.25
0	ADAMTSL2	32.0
