ATAC_count	Gene_Name	Mean_Gene_Expression
0	A1BG	666.0
0	A1CF	43.0
0	A2M	494.0
0	AADAT	28.25
0	AATF	4504.5
0	ABAT	605.5
0	ABCA12	4.75
0	ABCA6	260.5
0	ABCA8	735.5
0	ABCB1	139.0
0	ABCB10	510.0
0	ABCB11	92.0
0	ABCB5	772.75
0	ABCB6	221.25
0	ABCC2	151.25
0	ABCC3	185.0
0	ABCC5	479.75
0	ABCC9	981.75
0	ABCF1	7776.0
0	ABI3BP	64.75
0	ACAD11	433.75
0	ACCS	164.25
0	ACER2	56.5
0	ACKR4	29.75
0	ACMSD	9.75
0	ACOX1	777.75
0	ACOX3	248.75
0	ACOXL	213.25
0	ACP5	107.5
0	ACRV1	44.5
0	ACSL1	851.5
0	ACSM1	2.75
0	ACSM2B	80.0
0	ACSM5	4.25
0	ACSS3	47.25
0	ACTG2	216.75
0	ACVR2A	391.75
0	ADAM12	118.5
0	ADAM21	3.5
0	ADAM22	282.0
0	ADAM23	92.0
0	ADAM28	18.75
0	ADAM32	850.25
0	ADAMTS1	93.0
0	ADAMTS9	17.5
0	ADARB2	112.5
0	ADCK2	186.5
0	ADCY2	380.25
0	ADCY9	571.0
0	ADCYAP1R1	2.0
0	ADD2	792.5
0	ADGB	97.0
0	ADGRB2	3.5
0	ADGRD1	51.75
0	ADGRF1	448.75
0	ADGRG2	597.75
0	ADGRG6	12.25
0	ADGRL2	0.25
0	ADGRV1	2033.75
0	ADH1B	101.25
0	ADH4	168.75
0	ADH6	14.25
0	ADH7	3.25
0	ADK	460.0
0	ADPRHL1	88.25
0	ADRB3	21.25
0	AEBP2	2602.0
0	AFAP1L1	11.0
0	AFF4	3690.75
0	AFG3L2	756.5
0	AFMID	1871.25
0	AGAP1	81.5
0	AGBL1	42.75
0	AGBL4	76.75
0	AGMO	187.5
0	AICDA	153.75
0	AKAP14	2.25
0	AKNA	7833.5
0	AKR1D1	242.75
0	AKT1	1115.25
0	AKT2	4485.25
0	ALAS1	1096.75
0	ALCAM	527.5
0	ALDH1L2	159.5
0	ALDOB	8.25
0	ALDOC	287.25
0	ALG1L2	21.5
0	ALG3	1944.25
0	ALK	128.75
0	ALKBH1	183.0
0	ALKBH5	1569.5
0	ALKBH6	1107.0
0	ALKBH7	44.0
0	ALS2	571.0
0	AMER1	101.5
0	AMER2	55.0
0	AMER3	48.0
0	AMOT	74.5
0	ANGEL2	869.25
0	ANGPT1	61.25
0	ANGPTL1	22.75
0	ANGPTL3	1.5
