H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	A1BG	666.0
0	A1CF	43.0
0	A2M	494.0
0	A2ML1	89.5
0	AAAS	2411.0
0	AADAT	28.25
0	AAGAB	429.0
0	AAK1	6141.0
0	AAMDC	628.75
0	AASDH	83.75
0	AATF	4504.5
0	ABAT	605.5
0	ABCA1	397.75
0	ABCA10	36.75
0	ABCA12	4.75
0	ABCA13	165.75
0	ABCA2	680.75
0	ABCA3	185.75
0	ABCA5	662.0
0	ABCA6	260.5
0	ABCA7	549.5
0	ABCA8	735.5
0	ABCB1	139.0
0	ABCB10	510.0
0	ABCB11	92.0
0	ABCB5	772.75
0	ABCB6	221.25
0	ABCB7	669.5
0	ABCC1	2251.75
0	ABCC11	55.5
0	ABCC2	151.25
0	ABCC3	185.0
0	ABCC5	479.75
0	ABCC9	981.75
0	ABCD2	209.75
0	ABCF1	7776.0
0	ABCF3	919.0
0	ABCG1	1156.5
0	ABCG2	17.5
0	ABHD12	245.5
0	ABHD16A	590.0
0	ABHD4	281.25
0	ABHD6	111.75
0	ABI1	3629.25
0	ABI3BP	64.75
0	ABL1	1031.25
0	ABL2	1947.25
0	ABLIM1	6742.75
0	ABLIM3	1.5
0	ABR	2579.0
0	ABRA	46.25
0	ABRACL	181.25
0	ACAA1	573.75
0	ACAA2	1402.25
0	ACACB	1657.5
0	ACAD11	433.75
0	ACAD9	556.25
0	ACADM	717.25
0	ACAP2	3820.25
0	ACBD5	796.0
0	ACBD6	794.5
0	ACCS	164.25
0	ACD	778.25
0	ACE	147.75
0	ACER2	56.5
0	ACIN1	5503.75
0	ACKR2	150.75
0	ACKR3	110.5
0	ACKR4	29.75
0	ACMSD	9.75
0	ACOT2	229.0
0	ACOT7	1279.25
0	ACOT9	1000.0
0	ACOX1	777.75
0	ACOX2	1.75
0	ACOX3	248.75
0	ACOXL	213.25
0	ACP5	107.5
0	ACP6	331.75
0	ACRV1	44.5
0	ACSBG1	448.75
0	ACSL1	851.5
0	ACSM1	2.75
0	ACSM2B	80.0
0	ACSM3	78.0
0	ACSM5	4.25
0	ACSM6	12.25
0	ACSS1	653.25
0	ACSS2	283.25
0	ACSS3	47.25
0	ACTA2	260.5
0	ACTB	55244.25
0	ACTG1	7703.5
0	ACTG2	216.75
0	ACTR1B	2087.25
0	ACTR2	11096.75
0	ACVR1	552.5
0	ACVR1B	589.5
0	ACVR2A	391.75
0	ADAM12	118.5
0	ADAM17	1820.5
0	ADAM21	3.5
0	ADAM22	282.0
