RE_count	Gene_Name	Mean_Gene_Expression
0	AARSD1	1201.6666666666667
0	ABCA12	0.3333333333333333
0	ABCA2	268.6666666666667
0	ABCG4	0.3333333333333333
0	ABHD12B	66.5
0	ABHD16A	1019.3333333333334
0	ABI3BP	43.333333333333336
0	ACACA	327.6666666666667
0	ACAD11	344.0
0	ACAD9	891.6666666666666
0	ACCS	583.6666666666666
0	ACOT9	1456.3333333333333
0	ACOX1	1926.5
0	ACSM1	8.333333333333334
0	ACSM2B	85.66666666666667
0	ACSS3	4.333333333333333
0	ACTR1B	654.6666666666666
0	ACTRT3	5.0
0	ACVR1	348.3333333333333
0	ACVR2A	1576.0
0	ADAM12	525.1666666666666
0	ADAM32	293.8333333333333
0	ADGRA3	69.66666666666667
0	ADGRB1	0.1666666666666666
0	ADGRF3	154.66666666666666
0	ADGRG2	190.66666666666663
0	ADH7	0.5
0	ADPRM	818.0
0	ADRM1	1164.3333333333333
0	AFG3L2	450.8333333333333
0	AGAP1	6.5
0	AGBL2	112.0
0	AGO3	2378.1666666666665
0	AGPAT1	576.6666666666666
0	AHCTF1	681.3333333333334
0	AK7	63.333333333333336
0	ALCAM	33.666666666666664
0	ALDOB	4.166666666666667
0	ALG5	1014.8333333333334
0	ALKBH7	224.33333333333331
0	ALKBH8	263.6666666666667
0	AMMECR1	374.3333333333333
0	AMOT	6.333333333333333
0	AMY2A	1.5
0	ANGPTL3	0.6666666666666666
0	ANGPTL4	41.16666666666666
0	ANGPTL5	1.5
0	ANKEF1	106.5
0	ANKFN1	0.3333333333333333
0	ANKIB1	731.8333333333334
0	ANKRD24	0.1666666666666666
0	ANKS1B	37.833333333333336
0	ANLN	51.0
0	ANTXR1	1.0
0	ANXA11	848.6666666666666
0	ANXA2	397.1666666666667
0	AOC1	3.6666666666666665
0	AP1B1	483.8333333333333
0	AP1G2	5732.5
0	AP4S1	931.8333333333334
0	APOB	5.666666666666667
0	APOBEC3D	1810.5
0	APOOL	1799.8333333333333
0	AQP11	49.5
0	AREL1	609.0
0	ARFGAP3	1998.0
0	ARHGAP12	294.1666666666667
0	ARHGAP28	101.16666666666669
0	ARHGAP32	510.1666666666667
0	ARHGAP6	58.5
0	ARHGEF26	29.0
0	ARHGEF38	55.16666666666666
0	ARHGEF6	2279.833333333333
0	ARID2	2779.0
0	ARL10	577.1666666666666
0	ARL5A	328.0
0	ARL6IP4	274.3333333333333
0	ARMC10	372.3333333333333
0	ARMC4	2.1666666666666665
0	ARNTL2	133.0
0	ARPC4	5755.666666666667
0	ASAH2B	82.16666666666667
0	ASB1	468.8333333333333
0	ASCC3	779.3333333333334
0	ASIP	0.1666666666666666
0	ASXL3	0.1666666666666666
0	ATAD2B	623.8333333333334
0	ATF6	2033.3333333333333
0	ATF6B	2655.0
0	ATG4A	386.1666666666667
0	ATIC	1215.5
0	ATP13A4	86.33333333333333
0	ATP13A5	1.3333333333333333
0	ATP6V1H	798.8333333333334
0	ATP9A	12.666666666666666
0	ATRX	6297.0
0	AURKC	21.83333333333333
0	B3GALT1	177.33333333333334
0	BAAT	0.8333333333333334
0	BAIAP2L1	41.0
0	BAMBI	2.333333333333333
0	BARD1	845.5
0	BBS12	137.16666666666666
0	BBS4	1389.0
0	BBS7	228.83333333333331
0	BCKDHB	559.0
0	BCL11B	2.0
0	BCOR	1101.0
0	BEND4	13.666666666666666
0	BEST3	6.0
0	BEX2	1197.5
0	BLOC1S2	1815.1666666666667
0	BMP4	0.1666666666666666
0	BOD1L1	2825.6666666666665
0	BRCA1	285.1666666666667
0	BRI3	345.1666666666667
0	BSN	8.833333333333334
0	BTBD8	92.66666666666669
0	BTBD9	705.5
0	C12orf40	17.666666666666668
0	C12orf45	5127.166666666667
0	C12orf56	3.333333333333333
0	C15orf41	214.33333333333331
0	C16orf72	3692.5
0	C17orf78	0.5
0	C18orf32	500.8333333333333
0	C19orf48	770.6666666666666
0	C1orf50	188.5
0	C1orf53	1.0
0	C1QTNF1	24.5
0	C4orf17	1.1666666666666667
0	C7orf26	67.5
0	C7orf31	24.0
0	C8orf37	77.0
0	CABLES2	71.5
0	CABYR	68.66666666666667
0	CACNA1A	769.0
0	CACNB2	236.16666666666663
0	CALCRL	111.66666666666669
0	CAMTA2	687.1666666666666
0	CAND1	1896.1666666666667
0	CAPN14	5.833333333333333
0	CAPN8	6.333333333333333
0	CAPRIN1	774.1666666666666
0	CAPZB	3789.1666666666665
0	CARD14	214.66666666666663
0	CARS2	469.8333333333333
0	CASP9	988.8333333333334
