RE_count	Gene_Name	Mean_Gene_Expression
0	A1CF	5.166666666666667
0	ABCA13	57.16666666666666
0	ABCA2	268.6666666666667
0	ABCA8	38.333333333333336
0	ABCC2	59.5
0	ABHD12B	66.5
0	ABHD16A	1019.3333333333334
0	ABI3BP	43.333333333333336
0	ABR	620.5
0	ACACA	327.6666666666667
0	ACACB	520.3333333333334
0	ACCS	583.6666666666666
0	ACOT9	1456.3333333333333
0	ACOX1	1926.5
0	ACSM2B	85.66666666666667
0	ACTA2	136.5
0	ACTR1B	654.6666666666666
0	ACVR2A	1576.0
0	ADAM12	525.1666666666666
0	ADAM22	71.66666666666667
0	ADCYAP1R1	0.8333333333333334
0	ADGRA3	69.66666666666667
0	ADGRB1	0.1666666666666666
0	ADGRV1	320.5
0	ADIPOQ	82.83333333333333
0	ADORA2A	88.0
0	ADPRM	818.0
0	ADRM1	1164.3333333333333
0	AGAP2	907.0
0	AGBL2	112.0
0	AGO3	2378.1666666666665
0	AGPAT3	123.66666666666669
0	AHSP	2.0
0	AIMP1	1419.6666666666667
0	ALDOB	4.166666666666667
0	ALG5	1014.8333333333334
0	ALKBH7	224.33333333333331
0	ALPK1	384.0
0	AMER2	14.833333333333334
0	AMMECR1	374.3333333333333
0	AMPD3	206.33333333333331
0	AMY2A	1.5
0	AMY2B	148.83333333333334
0	ANGPTL1	3.1666666666666665
0	ANGPTL3	0.6666666666666666
0	ANGPTL5	1.5
0	ANK3	815.0
0	ANKEF1	106.5
0	ANKFN1	0.3333333333333333
0	ANKIB1	731.8333333333334
0	ANKRD24	0.1666666666666666
0	ANKRD26	668.1666666666666
0	ANKS1B	37.833333333333336
0	ANKS4B	217.83333333333331
0	ANTXR1	1.0
0	ANXA11	848.6666666666666
0	AP1B1	483.8333333333333
0	AP1G2	5732.5
0	AP5Z1	87.16666666666667
0	APBB2	48.0
0	API5	2603.1666666666665
0	APOB	5.666666666666667
0	APOBEC3D	1810.5
0	APOD	4.666666666666667
0	APOL4	1677.3333333333333
0	APOOL	1799.8333333333333
0	ARFGAP3	1998.0
0	ARG2	102.66666666666669
0	ARHGAP24	348.1666666666667
0	ARHGAP35	938.6666666666666
0	ARHGAP6	58.5
0	ARHGEF10	65.0
0	ARHGEF38	55.16666666666666
0	ARHGEF4	69.83333333333333
0	ARHGEF6	2279.833333333333
0	ARL1	947.0
0	ARL10	577.1666666666666
0	ARL5A	328.0
0	ARMC10	372.3333333333333
0	ARMC4	2.1666666666666665
0	ARMC9	1390.1666666666667
0	ARPC4	5755.666666666667
0	ASB1	468.8333333333333
0	ASB15	5.166666666666667
0	ASCC3	779.3333333333334
0	ASGR2	45.66666666666666
0	ASXL3	0.1666666666666666
0	ATAD2B	623.8333333333334
0	ATP10A	803.8333333333334
0	ATP12A	4.833333333333333
0	ATP13A4	86.33333333333333
0	ATP13A5	1.3333333333333333
0	ATP1A1	1542.1666666666667
0	ATP2B1	1207.1666666666667
0	ATP6V0D2	56.0
0	ATRX	6297.0
0	ATXN7L3B	2051.0
0	B3GALNT2	127.66666666666669
0	BAIAP2L1	41.0
0	BAMBI	2.333333333333333
0	BBS4	1389.0
0	BCKDHB	559.0
0	BCL11B	2.0
0	BDH1	428.8333333333333
0	BEX2	1197.5
0	BLNK	5.333333333333333
0	BLOC1S2	1815.1666666666667
0	BRCA1	285.1666666666667
0	BRDT	52.833333333333336
0	BRI3	345.1666666666667
0	BTBD11	190.83333333333331
0	BTBD7	1126.1666666666667
0	BTF3L4	1991.1666666666667
0	BTNL8	2.833333333333333
0	BUB1	35.0
0	C12orf54	5.666666666666667
0	C15orf41	214.33333333333331
0	C16orf58	538.8333333333334
0	C16orf72	3692.5
0	C17orf78	0.5
0	C1orf116	3.6666666666666665
0	C1orf50	188.5
0	C1orf53	1.0
0	C1orf56	3643.5
0	C1QTNF1	24.5
0	C20orf144	26.666666666666668
0	C20orf96	188.66666666666663
0	C2CD4D	14.333333333333334
0	C3orf49	9.666666666666666
0	C5	42.16666666666666
0	C5orf63	1188.6666666666667
0	C6orf223	0.8333333333333334
0	C7orf26	67.5
0	C8orf37	77.0
0	CA1	51.66666666666666
0	CAB39	1725.5
0	CAB39L	99.83333333333331
0	CACNA1D	169.66666666666666
0	CACNB2	236.16666666666663
0	CADM2	4.166666666666667
0	CADPS	28.33333333333333
0	CALD1	13.333333333333334
0	CALN1	37.5
0	CAMSAP1	379.5
0	CAMTA2	687.1666666666666
0	CAPN8	6.333333333333333
0	CAPZB	3789.1666666666665
0	CARD11	540.6666666666666
0	CARD14	214.66666666666663
0	CAST	1730.1666666666667
0	CBX2	1.3333333333333333
0	CC2D1B	1274.8333333333333
0	CCDC106	1.3333333333333333
0	CCDC113	232.16666666666663
0	CCDC138	300.3333333333333
0	CCDC14	555.1666666666666
0	CCDC171	443.3333333333333
0	CCDC180	398.0
