H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	A1CF	5.166666666666667
0	A2MP1	4.833333333333333
0	A4GALT	118.83333333333331
0	AACS	948.8333333333334
0	AADAT	3.6666666666666665
0	AANAT	9.0
0	AARD	81.83333333333333
0	AATK	18.666666666666668
0	ABAT	285.0
0	ABCA13	57.16666666666666
0	ABCA2	268.6666666666667
0	ABCA8	38.333333333333336
0	ABCB11	34.0
0	ABCB5	415.8333333333333
0	ABCB6	32.166666666666664
0	ABCB8	449.8333333333333
0	ABCB9	250.0
0	ABCC1	2099.6666666666665
0	ABCC13	7.0
0	ABCC3	132.5
0	ABCC6	145.83333333333334
0	ABCC8	31.33333333333333
0	ABCC9	185.33333333333331
0	ABCF3	1657.3333333333333
0	ABCG1	213.66666666666663
0	ABCG2	291.0
0	ABHD11-AS1	1.0
0	ABRA	41.0
0	ABTB2	55.5
0	ACADL	4.5
0	ACAN	31.5
0	ACAT1	516.6666666666666
0	ACCS	583.6666666666666
0	ACE	38.16666666666666
0	ACE2	4.666666666666667
0	ACO1	839.1666666666666
0	ACOT1	53.333333333333336
0	ACOT4	25.83333333333333
0	ACOX2	1.5
0	ACOX3	342.5
0	ACOXL	43.16666666666666
0	ACP5	137.83333333333334
0	ACSBG1	126.66666666666669
0	ACSBG2	2.1666666666666665
0	ACSF2	99.33333333333331
0	ACSF3	683.0
0	ACSM1	8.333333333333334
0	ACSS3	4.333333333333333
0	ACTA1	4.0
0	ACTC1	2.1666666666666665
0	ACTG1	23252.166666666668
0	ACTG2	14.666666666666666
0	ACTN1	242.83333333333331
0	ACTR3	5398.166666666667
0	ACVRL1	36.333333333333336
0	ACY3	6.166666666666667
0	ADA	89.5
0	ADAD1	6.666666666666667
0	ADAD2	35.666666666666664
0	ADAM11	2.333333333333333
0	ADAM19	7094.333333333333
0	ADAM20	2.1666666666666665
0	ADAM22	71.66666666666667
0	ADAM32	293.8333333333333
0	ADAM33	5.666666666666667
0	ADAM8	228.33333333333331
0	ADAMTS1	43.16666666666666
0	ADAMTS16	20.0
0	ADAMTS17	30.83333333333333
0	ADAMTS2	25.83333333333333
0	ADAMTS9	3.0
0	ADAMTSL2	39.333333333333336
0	ADAP1	93.5
0	ADAR	2773.1666666666665
0	ADARB2	218.16666666666663
0	ADCY1	28.5
0	ADCY2	98.16666666666669
0	ADCY4	33.833333333333336
0	ADCY6	430.1666666666667
0	ADCY7	1013.3333333333334
0	ADGRD1	1069.8333333333333
0	ADGRE1	81.0
0	ADGRE2	322.0
0	ADGRE3	4.5
0	ADGRF2	4.833333333333333
0	ADGRG3	3121.5
0	ADGRG5	171.5
0	ADH4	16.833333333333332
0	ADIPOQ	82.83333333333333
0	ADIRF	2.6666666666666665
0	ADM2	32.833333333333336
0	ADNP	5364.0
0	ADORA1	9.0
0	ADORA2A	88.0
0	ADORA2B	12.166666666666666
0	ADPRH	172.83333333333334
0	ADPRHL1	51.16666666666666
0	ADRA1A	114.0
0	ADRB3	4.833333333333333
0	ADTRP	47.333333333333336
0	AEBP1	2.0
0	AEN	394.5
0	AFAP1L1	819.3333333333334
0	AFF2	41.333333333333336
0	AFMID	557.8333333333334
0	AGAP2	907.0
0	AGAP5	122.33333333333331
0	AGAP6	537.3333333333334
0	AGBL2	112.0
0	AGFG1	1350.0
0	AGK	1755.6666666666667
0	AGMO	23.5
0	AGO2	1757.3333333333333
0	AGO4	576.3333333333334
0	AGPAT4	249.83333333333331
0	AGRN	31.666666666666668
0	AGXT	83.5
0	AHNAK	1320.5
0	AHR	4801.0
0	AHRR	90.0
0	AHSG	4.833333333333333
0	AHSP	2.0
0	AICDA	64.33333333333333
0	AIF1	53.833333333333336
0	AIF1L	18.5
0	AIFM1	764.5
0	AIFM2	380.1666666666667
0	AIFM3	2.1666666666666665
0	AIM2	15.333333333333334
0	AIPL1	60.16666666666666
0	AIRE	7.166666666666667
0	AJAP1	12.0
0	AKAP12	36.5
0	AKAP17A	384.8333333333333
0	AKAP7	458.5
0	AKNAD1	34.0
0	AKR1A1	2765.833333333333
0	AKR1B1	3631.6666666666665
0	AKR1B10	14.0
0	AKR1B15	210.0
0	AKR1C2	5.833333333333333
0	AKR1E2	13.666666666666666
0	ALDH16A1	269.1666666666667
0	ALDH1A3	7.166666666666667
0	ALDH8A1	55.5
0	ALG1L	27.5
0	ALPK1	384.0
0	ALPK2	4.666666666666667
0	ALPK3	3.0
0	ALPP	55.333333333333336
0	ALS2CL	28.166666666666668
0	AMER2	14.833333333333334
0	AMIGO3	47.333333333333336
0	AMPD1	1.6666666666666667
0	AMPD3	206.33333333333331
0	AMT	1050.0
0	AMY2B	148.83333333333334
0	AMZ1	57.66666666666666
0	AMZ2P1	1377.1666666666667
0	ANGPT1	60.833333333333336
0	ANGPT2	127.83333333333331
0	ANGPT4	50.0
0	ANGPTL4	41.16666666666666
0	ANGPTL6	1.3333333333333333
0	ANGPTL7	1.3333333333333333
0	ANKDD1A	168.33333333333334
0	ANKLE2	1148.8333333333333
0	ANKRD20A5P	49.16666666666666
0	ANKRD22	12.166666666666666
0	ANKRD23	91.66666666666669
0	ANKRD28	1864.6666666666667
0	ANKRD33B	51.5
