GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
A1BG	666.0	2.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	A1BG 666.0
A1CF	43.0	5.0	6.0	0.0	2.0	6.0	6.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	A1CF 43.0
A2M	494.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	A2M 494.0
A2ML1	89.5	3.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	A2ML1 89.5
AAAS	2411.0	22.0	37.0	0.0	3.0	37.0	2.0	35.0	0.0	0.0	1.0	2.0	2.0	35.0	AAAS 2411.0
AACS	1231.25	1.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	AACS 1231.25
AADACL3	2.75	2.0	4.0	2.0	0.0	4.0	4.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	AADACL3 2.75
AAK1	6141.0	12.0	58.0	0.0	0.0	58.0	14.0	44.0	0.0	0.0	0.0	0.0	14.0	44.0	AAK1 6141.0
AANAT	7.75	2.0	5.0	1.0	0.0	5.0	5.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	AANAT 7.75
AARS2	619.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	AARS2 619.0
AASS	800.5	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	AASS 800.5
ABAT	605.5	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ABAT 605.5
ABCA1	397.75	3.0	9.0	0.0	3.0	9.0	6.0	3.0	0.0	0.0	2.0	1.0	6.0	3.0	ABCA1 397.75
ABCA10	36.75	9.0	5.0	1.0	2.0	3.0	3.0	2.0	1.0	0.0	2.0	0.0	1.0	2.0	ABCA10 36.75
ABCA13	165.75	6.0	5.0	0.0	0.0	5.0	3.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	ABCA13 165.75
ABCA2	680.75	9.0	20.0	0.0	3.0	20.0	12.0	8.0	0.0	0.0	0.0	3.0	12.0	8.0	ABCA2 680.75
ABCA5	662.0	1.0	3.0	1.0	2.0	1.0	3.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	ABCA5 662.0
ABCA6	260.5	2.0	7.0	1.0	4.0	5.0	7.0	0.0	1.0	0.0	4.0	0.0	5.0	0.0	ABCA6 260.5
ABCA7	549.5	2.0	8.0	2.0	1.0	9.0	8.0	0.0	2.0	0.0	1.0	0.0	9.0	0.0	ABCA7 549.5
ABCB10	510.0	1.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	ABCB10 510.0
ABCB11	92.0	8.0	8.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	ABCB11 92.0
ABCB4	21.25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABCB4 21.25
ABCB5	772.75	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABCB5 772.75
ABCB8	771.75	1.0	5.0	0.0	1.0	5.0	5.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	ABCB8 771.75
ABCB9	551.25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABCB9 551.25
ABCC1	2251.75	25.0	14.0	0.0	0.0	14.0	1.0	13.0	0.0	0.0	0.0	0.0	1.0	13.0	ABCC1 2251.75
ABCC11	55.5	9.0	11.0	2.0	0.0	13.0	2.0	9.0	2.0	0.0	0.0	0.0	4.0	9.0	ABCC11 55.5
ABCC13	10.25	4.0	10.0	0.0	1.0	10.0	10.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	ABCC13 10.25
ABCC4	617.5	2.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	ABCC4 617.5
ABCC6	301.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ABCC6 301.0
ABCC9	981.75	4.0	10.0	2.0	3.0	7.0	10.0	0.0	2.0	0.0	3.0	0.0	7.0	0.0	ABCC9 981.75
ABCD2	209.75	40.0	24.0	0.0	3.0	24.0	1.0	23.0	0.0	0.0	3.0	0.0	1.0	23.0	ABCD2 209.75
ABCF1	7776.0	5.0	6.0	2.0	1.0	5.0	6.0	0.0	2.0	0.0	1.0	0.0	5.0	0.0	ABCF1 7776.0
ABCF2	2708.5	2.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	ABCF2 2708.5
ABCG1	1156.5	62.0	89.0	0.0	0.0	89.0	7.0	82.0	0.0	0.0	0.0	0.0	7.0	82.0	ABCG1 1156.5
ABCG4	2.5	3.0	6.0	1.0	0.0	6.0	5.0	1.0	1.0	0.0	0.0	0.0	5.0	1.0	ABCG4 2.5
ABHD10	1060.75	26.0	23.0	1.0	1.0	23.0	1.0	22.0	0.0	1.0	0.0	1.0	1.0	22.0	ABHD10 1060.75
ABHD11-AS1	8.25	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ABHD11-AS1 8.25
ABHD12B	614.75	3.0	9.0	1.0	1.0	8.0	9.0	0.0	1.0	0.0	1.0	0.0	8.0	0.0	ABHD12B 614.75
ABHD15	286.25	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	ABHD15 286.25
ABHD16B	17.0	2.0	7.0	0.0	1.0	7.0	7.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	ABHD16B 17.0
ABHD17A	770.0	4.0	20.0	3.0	4.0	18.0	20.0	0.0	3.0	0.0	4.0	0.0	18.0	0.0	ABHD17A 770.0
