GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count
A1BG	666.0	2.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0
A1CF	43.0	5.0	6.0	0.0	2.0	6.0	6.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0
A2M	494.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0
A2ML1	89.5	3.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0
A2MP1	114.25													
A4GALT	128.25													
AAAS	2411.0	22.0	37.0	0.0	3.0	37.0	2.0	35.0	0.0	0.0	1.0	2.0	2.0	35.0
AACS	1231.25	1.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0
AADACL3	2.75	2.0	4.0	2.0	0.0	4.0	4.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0
AADAT	28.25													
AAGAB	429.0	6.0	15.0	0.0	3.0	15.0								
AAK1	6141.0	12.0	58.0	0.0	0.0	58.0	14.0	44.0	0.0	0.0	0.0	0.0	14.0	44.0
AAMDC	628.75	4.0	5.0	0.0	2.0	5.0								
AAMP	501.0													
AANAT	7.75	2.0	5.0	1.0	0.0	5.0	5.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0
AAR2	752.5													
AARD	412.25													
AARS1	2820.0													
AARS2	619.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
AARSD1	568.25	1.0	2.0	1.0	1.0	2.0								
AASDH	83.75	11.0	13.0	0.0	6.0	13.0								
AASDHPPT	284.0													
AASS	800.5	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
AATF	4504.5													
AATK	1.5													
ABAT	605.5	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
