GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
A1BG	666.0	1.0	0.0	0.0	0.0	0.0	A1BG 666.0
A1CF	43.0	7.0	0.0	0.0	0.0	0.0	A1CF 43.0
A2M	494.0	1.0	0.0	0.0	0.0	0.0	A2M 494.0
A2ML1	89.5	38.0	2.0	0.0	0.0	2.0	A2ML1 89.5
AAAS	2411.0	395.0	45.0	0.0	3.0	45.0	AAAS 2411.0
AADAT	28.25	5.0	0.0	0.0	0.0	0.0	AADAT 28.25
AAGAB	429.0	67.0	16.0	0.0	5.0	16.0	AAGAB 429.0
AAK1	6141.0	64.0	22.0	0.0	0.0	22.0	AAK1 6141.0
AAMDC	628.75	62.0	5.0	0.0	4.0	5.0	AAMDC 628.75
AARSD1	568.25	23.0	3.0	2.0	3.0	3.0	AARSD1 568.25
AASDH	83.75	157.0	17.0	0.0	8.0	17.0	AASDH 83.75
AATF	4504.5	1.0	0.0	0.0	0.0	0.0	AATF 4504.5
ABAT	605.5	1.0	0.0	0.0	0.0	0.0	ABAT 605.5
ABCA1	397.75	103.0	12.0	0.0	2.0	12.0	ABCA1 397.75
ABCA10	36.75	100.0	3.0	0.0	0.0	3.0	ABCA10 36.75
ABCA12	4.75	12.0	0.0	0.0	0.0	0.0	ABCA12 4.75
ABCA13	165.75	17.0	2.0	0.0	0.0	2.0	ABCA13 165.75
ABCA2	680.75	76.0	14.0	0.0	8.0	14.0	ABCA2 680.75
ABCA3	185.75	78.0	2.0	0.0	0.0	2.0	ABCA3 185.75
ABCA5	662.0	17.0	1.0	0.0	0.0	1.0	ABCA5 662.0
ABCA6	260.5	18.0	0.0	0.0	0.0	0.0	ABCA6 260.5
ABCA7	549.5	1.0	1.0	0.0	0.0	1.0	ABCA7 549.5
ABCA8	735.5	20.0	0.0	0.0	0.0	0.0	ABCA8 735.5
ABCB1	139.0	3.0	0.0	0.0	0.0	0.0	ABCB1 139.0
ABCB10	510.0	17.0	0.0	0.0	0.0	0.0	ABCB10 510.0
ABCB11	92.0	3.0	0.0	0.0	0.0	0.0	ABCB11 92.0
ABCB5	772.75	7.0	0.0	0.0	0.0	0.0	ABCB5 772.75
ABCB6	221.25	1.0	0.0	0.0	0.0	0.0	ABCB6 221.25
ABCB7	669.5	35.0	3.0	0.0	4.0	3.0	ABCB7 669.5
ABCC1	2251.75	406.0	20.0	0.0	0.0	20.0	ABCC1 2251.75
ABCC10	1443.25	2.0	4.0	1.0	2.0	4.0	ABCC10 1443.25
ABCC11	55.5	111.0	7.0	0.0	0.0	7.0	ABCC11 55.5
ABCC2	151.25	20.0	0.0	0.0	0.0	0.0	ABCC2 151.25
ABCC3	185.0	1.0	0.0	0.0	0.0	0.0	ABCC3 185.0
ABCC5	479.75	1.0	0.0	0.0	0.0	0.0	ABCC5 479.75
ABCC9	981.75	7.0	0.0	0.0	0.0	0.0	ABCC9 981.75
ABCD2	209.75	431.0	25.0	0.0	0.0	25.0	ABCD2 209.75
ABCD3	1020.25	71.0	6.0	2.0	2.0	6.0	ABCD3 1020.25
ABCF1	7776.0	57.0	0.0	0.0	0.0	0.0	ABCF1 7776.0
ABCF3	919.0	29.0	2.0	0.0	1.0	2.0	ABCF3 919.0
ABCG1	1156.5	779.0	108.0	0.0	0.0	108.0	ABCG1 1156.5
ABCG2	17.5	15.0	7.0	0.0	0.0	7.0	ABCG2 17.5
ABCG4	2.5	31.0	11.0	1.0	0.0	11.0	ABCG4 2.5
ABHD10	1060.75	295.0	26.0	5.0	3.0	30.0	ABHD10 1060.75
ABHD12	245.5	271.0	28.0	0.0	10.0	28.0	ABHD12 245.5
