GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
A1CF	5.166666666666667	34.0	0.0	0.0	0.0	0.0	A1CF 5.166666666666667
A2ML1	68.83333333333333	65.0	1.0	0.0	0.0	1.0	A2ML1 68.83333333333333
AAAS	1057.5	332.0	11.0	2.0	5.0	12.0	AAAS 1057.5
AADAT	3.6666666666666665	1.0	0.0	0.0	0.0	0.0	AADAT 3.6666666666666665
AAGAB	1824.1666666666667	109.0	8.0	0.0	3.0	8.0	AAGAB 1824.1666666666667
AAK1	6442.166666666667	34.0	3.0	1.0	0.0	3.0	AAK1 6442.166666666667
AAMDC	541.8333333333334	42.0	5.0	1.0	5.0	6.0	AAMDC 541.8333333333334
AANAT	9.0	21.0	4.0	0.0	0.0	4.0	AANAT 9.0
AARD	81.83333333333333	1.0	0.0	0.0	0.0	0.0	AARD 81.83333333333333
AARS2	349.1666666666667	10.0	5.0	0.0	0.0	5.0	AARS2 349.1666666666667
AARSD1	1201.6666666666667	1.0	0.0	0.0	0.0	0.0	AARSD1 1201.6666666666667
AASDH	755.6666666666666	41.0	2.0	1.0	3.0	3.0	AASDH 755.6666666666666
AASS	312.6666666666667	1.0	0.0	0.0	0.0	0.0	AASS 312.6666666666667
ABCA1	4002.1666666666665	277.0	18.0	1.0	1.0	17.0	ABCA1 4002.1666666666665
ABCA10	16.333333333333332	135.0	4.0	0.0	0.0	4.0	ABCA10 16.333333333333332
ABCA12	0.3333333333333333	5.0	0.0	0.0	0.0	0.0	ABCA12 0.3333333333333333
ABCA13	57.16666666666666	40.0	0.0	0.0	0.0	0.0	ABCA13 57.16666666666666
ABCA2	268.6666666666667	18.0	0.0	0.0	0.0	0.0	ABCA2 268.6666666666667
ABCA3	45.16666666666666	66.0	2.0	0.0	0.0	2.0	ABCA3 45.16666666666666
ABCA5	1006.1666666666666	1.0	0.0	0.0	0.0	0.0	ABCA5 1006.1666666666666
ABCA8	38.333333333333336	20.0	0.0	0.0	0.0	0.0	ABCA8 38.333333333333336
ABCB1	3188.5	2.0	0.0	0.0	0.0	0.0	ABCB1 3188.5
ABCB11	34.0	123.0	1.0	0.0	0.0	1.0	ABCB11 34.0
ABCB5	415.8333333333333	44.0	2.0	0.0	0.0	2.0	ABCB5 415.8333333333333
ABCB8	449.8333333333333	12.0	1.0	0.0	0.0	1.0	ABCB8 449.8333333333333
ABCC1	2099.6666666666665	285.0	14.0	5.0	0.0	18.0	ABCC1 2099.6666666666665
ABCC10	1402.5	23.0	3.0	0.0	0.0	3.0	ABCC10 1402.5
ABCC11	28.0	12.0	1.0	0.0	3.0	1.0	ABCC11 28.0
ABCC2	59.5	23.0	0.0	0.0	0.0	0.0	ABCC2 59.5
ABCC5	647.5	25.0	1.0	0.0	0.0	1.0	ABCC5 647.5
ABCC9	185.33333333333331	15.0	0.0	0.0	0.0	0.0	ABCC9 185.33333333333331
ABCD2	106.0	135.0	5.0	0.0	0.0	5.0	ABCD2 106.0
ABCD3	434.0	48.0	4.0	0.0	0.0	4.0	ABCD3 434.0
