GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
A1BG	474.0	2.0	2.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	A1BG 474.0
A1CF	5.166666666666667	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	A1CF 5.166666666666667
A2MP1	4.833333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	A2MP1 4.833333333333333
A4GALT	118.83333333333331	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	A4GALT 118.83333333333331
AACS	948.8333333333334	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	AACS 948.8333333333334
AADAT	3.6666666666666665	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AADAT 3.6666666666666665
AANAT	9.0	3.0	6.0	1.0	0.0	6.0	3.0	3.0	1.0	0.0	0.0	0.0	3.0	3.0	AANAT 9.0
AARD	81.83333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AARD 81.83333333333333
AARS2	349.1666666666667	2.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	AARS2 349.1666666666667
AATK	18.666666666666668	2.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	AATK 18.666666666666668
ABAT	285.0	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ABAT 285.0
