GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count
A1BG	474.0	2.0	2.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0
A1CF	5.166666666666667	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2M	33.5													
A2ML1	68.83333333333333	3.0	1.0	0.0	0.0	1.0								
A2MP1	4.833333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4GALT	118.83333333333331	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
AAAS	1057.5	18.0	13.0	1.0	2.0	13.0	12.0	1.0	1.0	0.0	1.0	1.0	12.0	1.0
AACS	948.8333333333334	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AADACL3	0.5													
AADAT	3.6666666666666665	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAGAB	1824.1666666666667	7.0	7.0	0.0	2.0	7.0								
AAK1	6442.166666666667	2.0	3.0	1.0	0.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0
AAMDC	541.8333333333334	3.0	3.0	1.0	3.0	4.0								
AAMP	3040.833333333333													
AANAT	9.0	3.0	6.0	1.0	0.0	6.0	6.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0
AAR2	2384.5													
AARD	81.83333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AARS1	2605.6666666666665													
AARS2	349.1666666666667	2.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0
AARSD1	1201.6666666666667													
AASDH	755.6666666666666	3.0	2.0	1.0	1.0	3.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0
AASDHPPT	2238.5													
AASS	312.6666666666667													
AATF	1159.0													
AATK	18.666666666666668	2.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
ABAT	285.0	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
ABCA1	4002.1666666666665	19.0	14.0	1.0	1.0	13.0	13.0	1.0	1.0	0.0	1.0	0.0	12.0	1.0
ABCA10	16.333333333333332	12.0	9.0	1.0	1.0	8.0	9.0	0.0	1.0	0.0	1.0	0.0	8.0	0.0
ABCA11P	58.5													
ABCA12	0.3333333333333333													
ABCA13	57.16666666666666	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA17P	27.166666666666668													
ABCA2	268.6666666666667	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ABCA3	45.16666666666666	10.0	8.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
ABCA5	1006.1666666666666	1.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
ABCA6	83.5													
ABCA7	249.66666666666663													
ABCA8	38.333333333333336	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ABCA9	118.5													
ABCB1	3188.5	1.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0
ABCB10	254.16666666666663													
ABCB11	34.0	11.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
ABCB4	3.8333333333333335	1.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0
ABCB5	415.8333333333333	5.0	10.0	2.0	0.0	9.0	9.0	1.0	2.0	0.0	0.0	0.0	8.0	1.0
ABCB6	32.166666666666664	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ABCB7	1515.8333333333333													
ABCB8	449.8333333333333	4.0	6.0	1.0	0.0	6.0	6.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0
ABCB9	250.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC1	2099.6666666666665	15.0	10.0	4.0	0.0	13.0	1.0	9.0	1.0	3.0	0.0	0.0	2.0	11.0
ABCC10	1402.5	1.0	1.0	0.0	0.0	1.0								
ABCC11	28.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
ABCC13	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC2	59.5	1.0	0.0	0.0	0.0	0.0								
ABCC3	132.5	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC4	409.3333333333333													
ABCC5	647.5	1.0	1.0	0.0	0.0	1.0								
ABCC6	145.83333333333334	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC6P1	5.5													
ABCC8	31.33333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC9	185.33333333333331	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1	17.333333333333332													
ABCD2	106.0	9.0	5.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
ABCD3	434.0	4.0	6.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
ABCD4	1884.5													
ABCE1	1660.6666666666667													
